万得代码,交易所代码,自然日,时间,委托编号,交易所委托号,委托类型,委托代码,委托价格,委托数量,
000001.SZ,000001,20260918,91500000,0,2,0,B,105700,100,
000001.SZ,000001,20260918,91500000,0,15,0,B,105700,100,
000001.SZ,000001,20260918,91500000,0,26,0,B,105700,100,
000001.SZ,000001,20260918,91500000,0,48,0,S,127700,100,
000001.SZ,000001,20260918,91500000,0,63,0,B,113000,200,
000001.SZ,000001,20260918,91500000,0,71,0,B,127700,100,
000001.SZ,000001,20260918,91500000,0,99,0,B,105700,100,
000001.SZ,000001,20260918,91500000,0,121,0,B,105700,100,
000001.SZ,000001,20260918,91500000,0,132,0,B,105700,100,
000001.SZ,000001,20260918,91500000,0,144,0,B,116100,100,
000001.SZ,000001,20260918,91500000,0,165,0,S,121000,1000,
000001.SZ,000001,20260918,91500000,0,167,0,B,111000,100,
000001.SZ,000001,20260918,91500010,0,231,0,B,111500,8900,
000001.SZ,000001,20260918,91500010,0,237,0,S,116800,500,
000001.SZ,000001,20260918,91500010,0,242,0,S,120000,14600,
000001.SZ,000001,20260918,91500010,0,244,0,S,124600,4600,
000001.SZ,000001,20260918,91500010,0,283,0,S,127700,1000,
000001.SZ,000001,20260918,91500010,0,292,0,B,113800,1000,
000001.SZ,000001,20260918,91500010,0,293,0,B,110300,2000,
000001.SZ,000001,20260918,91500010,0,294,0,S,119400,1000,
000001.SZ,000001,20260918,91500020,0,340,0,B,107900,2000,
000001.SZ,000001,20260918,91500020,0,348,0,B,112100,4500,
000001.SZ,000001,20260918,91500020,0,349,0,S,118000,1000,
000001.SZ,000001,20260918,91500020,0,640,0,B,105700,100,
000001.SZ,000001,20260918,91500020,0,651,0,B,105700,100,
000001.SZ,000001,20260918,91500020,0,696,0,B,115000,300,
000001.SZ,000001,20260918,91500020,0,746,0,S,117200,2000,
000001.SZ,000001,20260918,91500020,0,747,0,S,117400,2000,
000001.SZ,000001,20260918,91500020,0,753,0,B,104700,100,
000001.SZ,000001,20260918,91500020,0,754,0,S,127700,1600,
000001.SZ,000001,20260918,91500020,0,760,0,B,105700,100,
000001.SZ,000001,20260918,91500020,0,768,0,S,117600,2000,
000001.SZ,000001,20260918,91500020,0,777,0,B,105700,100,
000001.SZ,000001,20260918,91500020,0,810,0,S,104500,100,
000001.SZ,000001,20260918,91500020,0,965,0,S,117400,1000,
000001.SZ,000001,20260918,91500020,0,1034,0,S,125000,200,
000001.SZ,000001,20260918,91500020,0,1043,0,B,105700,100,
000001.SZ,000001,20260918,91500020,0,1083,0,B,113300,100,
000001.SZ,000001,20260918,91500020,0,1175,0,S,120500,1000,
000001.SZ,000001,20260918,91500020,0,1259,0,B,105400,100,
000001.SZ,000001,20260918,91500020,0,1290,0,S,121000,400,
000001.SZ,000001,20260918,91500020,0,1291,0,S,123500,200,
000001.SZ,000001,20260918,91500020,0,1292,0,S,126000,400,
000001.SZ,000001,20260918,91500020,0,1312,0,B,104500,100,
000001.SZ,000001,20260918,91500020,0,1335,0,B,104500,100,
000001.SZ,000001,20260918,91500020,0,1338,0,B,104500,100,
000001.SZ,000001,20260918,91500020,0,1340,0,B,104500,100,
000001.SZ,000001,20260918,91500020,0,1342,0,B,104500,100,
000001.SZ,000001,20260918,91500020,0,1403,0,S,127700,200,
000001.SZ,000001,20260918,91500020,0,1405,0,B,107500,200,
000001.SZ,000001,20260918,91500020,0,1527,0,S,126800,9600,
000001.SZ,000001,20260918,91500020,0,1533,0,B,114500,300,
000001.SZ,000001,20260918,91500020,0,1626,0,S,126300,4800,
000001.SZ,000001,20260918,91500020,0,1637,0,B,116300,4400,
000001.SZ,000001,20260918,91500020,0,1719,0,S,122300,1000,
000001.SZ,000001,20260918,91500020,0,1722,0,S,119300,500,
000001.SZ,000001,20260918,91500020,0,1726,0,S,125600,2800,
000001.SZ,000001,20260918,91500020,0,1728,0,S,123900,3700,
000001.SZ,000001,20260918,91500020,0,1729,0,S,127300,7400,
000001.SZ,000001,20260918,91500020,0,1792,0,S,121900,1000,
000001.SZ,000001,20260918,91500020,0,1793,0,S,124400,1000,
000001.SZ,000001,20260918,91500020,0,1794,0,S,126900,1000,
000001.SZ,000001,20260918,91500020,0,1835,0,S,121300,1700,
000001.SZ,000001,20260918,91500020,0,1836,0,S,122100,1600,
000001.SZ,000001,20260918,91500020,0,1837,0,S,123000,1600,
