万得代码,交易所代码,自然日,时间,成交价,成交量,成交额,成交笔数,IOPV,成交标志,BS标志,当日累计成交量,当日成交额,最高价,最低价,开盘价,前收盘,申卖价1,申卖价2,申卖价3,申卖价4,申卖价5,申卖价6,申卖价7,申卖价8,申卖价9,申卖价10,申卖量1,申卖量2,申卖量3,申卖量4,申卖量5,申卖量6,申卖量7,申卖量8,申卖量9,申卖量10,申买价1,申买价2,申买价3,申买价4,申买价5,申买价6,申买价7,申买价8,申买价9,申买价10,申买量1,申买量2,申买量3,申买量4,申买量5,申买量6,申买量7,申买量8,申买量9,申买量10,加权平均叫卖价,加权平均叫买价,叫卖总量,叫买总量,不加权指数,品种总数,上涨品种数,下跌品种数,持平品种数,
000009.SZ,000009,20260918,91500000,0,0,0,0,0,,,0,0,0,0,0,69000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000009.SZ,000009,20260918,91509000,0,0,0,0,0,,,0,0,0,0,0,69000,68700,0,0,0,0,0,0,0,0,0,9500,0,0,0,0,0,0,0,0,0,68700,0,0,0,0,0,0,0,0,0,9500,1700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000009.SZ,000009,20260918,91603000,0,0,0,0,0,,,0,0,0,0,0,69000,68200,0,0,0,0,0,0,0,0,0,29600,0,0,0,0,0,0,0,0,0,68200,0,0,0,0,0,0,0,0,0,29600,4600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000009.SZ,000009,20260918,91621000,0,0,0,0,0,,,0,0,0,0,0,69000,68700,0,0,0,0,0,0,0,0,0,9500,0,0,0,0,0,0,0,0,0,68700,0,0,0,0,0,0,0,0,0,9500,1700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000009.SZ,000009,20260918,91630000,0,0,0,0,0,,,0,0,0,0,0,69000,68700,0,0,0,0,0,0,0,0,0,14000,0,0,0,0,0,0,0,0,0,68700,0,0,0,0,0,0,0,0,0,14000,3500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000009.SZ,000009,20260918,91715000,0,0,0,0,0,,,0,0,0,0,0,69000,68700,0,0,0,0,0,0,0,0,0,14000,0,0,0,0,0,0,0,0,0,68700,0,0,0,0,0,0,0,0,0,14000,5200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000009.SZ,000009,20260918,91733000,0,0,0,0,0,,,0,0,0,0,0,69000,68700,0,0,0,0,0,0,0,0,0,14500,0,0,0,0,0,0,0,0,0,68700,0,0,0,0,0,0,0,0,0,14500,4700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000009.SZ,000009,20260918,91827000,0,0,0,0,0,,,0,0,0,0,0,69000,68700,0,0,0,0,0,0,0,0,0,14500,0,0,0,0,0,0,0,0,0,68700,0,0,0,0,0,0,0,0,0,14500,5700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000009.SZ,000009,20260918,92009000,0,0,0,0,0,,,0,0,0,0,0,69000,68700,0,0,0,0,0,0,0,0,0,14500,0,0,0,0,0,0,0,0,0,68700,0,0,0,0,0,0,0,0,0,14500,6700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000009.SZ,000009,20260918,92045000,0,0,0,0,0,,,0,0,0,0,0,69000,68700,0,0,0,0,0,0,0,0,0,16200,0,0,0,0,0,0,0,0,0,68700,0,0,0,0,0,0,0,0,0,16200,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000009.SZ,000009,20260918,92054000,0,0,0,0,0,,,0,0,0,0,0,69000,68700,0,0,0,0,0,0,0,0,0,18000,0,0,0,0,0,0,0,0,0,68700,0,0,0,0,0,0,0,0,0,18000,10600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000009.SZ,000009,20260918,92148000,0,0,0,0,0,,,0,0,0,0,0,69000,68700,0,0,0,0,0,0,0,0,0,18000,0,0,0,0,0,0,0,0,0,68700,0,0,0,0,0,0,0,0,0,18000,16300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000009.SZ,000009,20260918,92224000,0,0,0,0,0,,,0,0,0,0,0,69000,68700,0,0,0,0,0,0,0,0,0,18000,0,0,0,0,0,0,0,0,0,68700,0,0,0,0,0,0,0,0,0,18000,16800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000009.SZ,000009,20260918,92233000,0,0,0,0,0,,,0,0,0,0,0,69000,68700,0,0,0,0,0,0,0,0,0,25300,0,0,0,0,0,0,0,0,0,68700,0,0,0,0,0,0,0,0,0,25300,9500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000009.SZ,000009,20260918,92242000,0,0,0,0,0,,,0,0,0,0,0,69000,68700,0,0,0,0,0,0,0,0,0,25300,0,0,0,0,0,0,0,0,0,68700,0,0,0,0,0,0,0,0,0,25300,13000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000009.SZ,000009,20260918,92318000,0,0,0,0,0,,,0,0,0,0,0,69000,68700,0,0,0,0,0,0,0,0,0,25300,0,0,0,0,0,0,0,0,0,68700,0,0,0,0,0,0,0,0,0,25300,14700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000009.SZ,000009,20260918,92327000,0,0,0,0,0,,,0,0,0,0,0,69000,68700,0,0,0,0,0,0,0,0,0,25900,0,0,0,0,0,0,0,0,0,68700,0,0,0,0,0,0,0,0,0,25900,15600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000009.SZ,000009,20260918,92403000,0,0,0,0,0,,,0,0,0,0,0,69000,68700,0,0,0,0,0,0,0,0,0,41700,4800,0,0,0,0,0,0,0,0,68700,0,0,0,0,0,0,0,0,0,41700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000009.SZ,000009,20260918,92412000,0,0,0,0,0,,,0,0,0,0,0,69000,68700,0,0,0,0,0,0,0,0,0,41800,4700,0,0,0,0,0,0,0,0,68700,0,0,0,0,0,0,0,0,0,41800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000009.SZ,000009,20260918,92430000,0,0,0,0,0,,,0,0,0,0,0,69000,68700,0,0,0,0,0,0,0,0,0,46500,0,0,0,0,0,0,0,0,0,68700,0,0,0,0,0,0,0,0,0,46500,6600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000009.SZ,000009,20260918,92439000,0,0,0,0,0,,,0,0,0,0,0,69000,68700,0,0,0,0,0,0,0,0,0,46500,0,0,0,0,0,0,0,0,0,68700,0,0,0,0,0,0,0,0,0,46500,19500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000009.SZ,000009,20260918,92448000,0,0,0,0,0,,,0,0,0,0,0,69000,68800,0,0,0,0,0,0,0,0,0,46500,0,0,0,0,0,0,0,0,0,68800,0,0,0,0,0,0,0,0,0,46500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000009.SZ,000009,20260918,92457000,0,0,0,0,0,,,0,0,0,0,0,69000,69000,0,0,0,0,0,0,0,0,0,49500,0,0,0,0,0,0,0,0,0,69000,0,0,0,0,0,0,0,0,0,49500,9100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000009.SZ,000009,20260918,92500000,69500,93100,647045,42,0,,,93100,647045,69500,69500,69500,69000,69700,69800,70000,70100,70200,70300,70400,70500,70600,70700,11900,6700,28400,700,2000,2000,2100,3800,1800,3100,69500,69300,69100,69000,68900,68800,68700,68600,68500,68400,3600,11700,9500,10500,700,3600,29900,5300,30300,27000,73700,67800,568100,441000,0,0,0,0,0,
000009.SZ,000009,20260918,93000000,69500,23600,164020,44,0,,,116700,811065,69500,69500,69500,69000,69400,69500,69600,69700,69800,69900,70000,70100,70200,70300,1400,7000,1800,13900,10100,3000,29400,700,2000,2000,69300,69100,69000,68900,68800,68700,68600,68500,68400,68300,7100,12400,4800,700,4300,29900,5300,35700,28000,7600,73200,67100,732600,497400,0,0,0,0,0,
000009.SZ,000009,20260918,93003000,69600,33000,229340,74,0,,,149700,1040405,69600,69300,69500,69000,69600,69700,69800,69900,70000,70100,70200,70300,70400,70500,47600,20900,36400,62200,27600,19300,9700,3500,14400,20800,69500,69300,69100,69000,68900,68800,68700,68600,68500,68400,6400,3100,14200,15200,4000,25800,29900,6900,38500,28000,72600,67300,1159900,545000,0,0,0,0,0,
000009.SZ,000009,20260918,93006000,69200,21500,149003,101,0,,,171200,1189408,69600,69200,69500,69000,69200,69300,69400,69500,69600,69700,69800,69900,70000,70100,38400,49600,17600,93400,51700,23500,40700,64200,28900,20300,69100,69000,68900,68800,68700,68600,68500,68400,68300,68200,17200,17900,4000,25800,29900,6900,38500,28000,5900,13600,72100,67200,1405700,541200,0,0,0,0,0,
000009.SZ,000009,20260918,93009000,69100,59200,409476,127,0,,,230400,1598884,69600,69100,69500,69000,69100,69300,69400,69500,69600,69700,69800,69900,70000,70100,2700,50300,8400,71400,50400,23500,40700,64200,28900,20300,69000,68900,68800,68700,68600,68500,68400,68300,68200,68100,17900,14000,25800,29900,6900,38500,28000,5900,13600,88800,72200,67200,1345400,534000,0,0,0,0,0,
