万得代码,交易所代码,自然日,时间,成交编号,成交代码,委托代码,BS标志,成交价格,成交数量,叫卖序号,叫买序号,
000039.SZ,000039,20260918,91501190,143507,C,0, ,0,200,0,143502,
000039.SZ,000039,20260918,91502800,184087,C,0, ,0,1100,183767,0,
000039.SZ,000039,20260918,91617280,208884,C,0, ,0,2800,0,119096,
000039.SZ,000039,20260918,91832190,240087,C,0, ,0,600,0,183237,
000039.SZ,000039,20260918,91851950,245139,C,0, ,0,800,0,203246,
000039.SZ,000039,20260918,92500000,406620,0,0,S,91500,100,196487,178628,
000039.SZ,000039,20260918,92500000,406621,0,0,S,91500,2900,199958,178628,
000039.SZ,000039,20260918,92500000,406622,0,0,S,91500,500,250136,178628,
000039.SZ,000039,20260918,92500000,406623,0,0,S,91500,300,298752,178628,
000039.SZ,000039,20260918,92500000,406624,0,0,S,91500,600,400967,178628,
000039.SZ,000039,20260918,92500000,406625,0,0,S,91500,200,196497,178628,
000039.SZ,000039,20260918,92500000,406626,0,0,S,91500,400,367659,178628,
000039.SZ,000039,20260918,92500000,406627,0,0,S,91500,100,367659,265537,
000039.SZ,000039,20260918,92500000,406628,0,0,S,91500,100,367659,265638,
000039.SZ,000039,20260918,92500000,406629,0,0,S,91500,100,367659,265866,
000039.SZ,000039,20260918,92500000,406630,0,0,S,91500,100,367659,305761,
000039.SZ,000039,20260918,92500000,406631,0,0,B,91500,100,367659,394577,
000039.SZ,000039,20260918,92500000,406632,0,0,S,91500,4600,367659,169397,
000039.SZ,000039,20260918,92500000,406633,0,0,S,91500,100,399193,169397,
000039.SZ,000039,20260918,92500000,406634,0,0,S,91500,1000,393890,169397,
000039.SZ,000039,20260918,92500000,406635,0,0,S,91500,100,332962,169397,
000039.SZ,000039,20260918,92500000,406636,0,0,S,91500,200,196277,169397,
000039.SZ,000039,20260918,92500000,406637,0,0,S,91500,3000,398040,169397,
000039.SZ,000039,20260918,92500000,406638,0,0,B,91500,100,396698,399004,
000039.SZ,000039,20260918,92500000,406639,0,0,S,91500,100,396698,266652,
000039.SZ,000039,20260918,92500000,406640,0,0,S,91500,100,396698,376655,
000039.SZ,000039,20260918,92500000,406641,0,0,S,91500,100,397207,376655,
000039.SZ,000039,20260918,92500000,406642,0,0,B,91500,200,397207,400146,
000039.SZ,000039,20260918,92500000,406643,0,0,S,91500,600,397207,383427,
000039.SZ,000039,20260918,92500000,406644,0,0,S,91500,2000,397453,383427,
000039.SZ,000039,20260918,92500000,406645,0,0,S,91500,100,390419,383427,
000039.SZ,000039,20260918,92500000,406646,0,0,B,91500,100,127744,383427,
000039.SZ,000039,20260918,92500000,406647,0,0,S,91500,2300,384267,383427,
000039.SZ,000039,20260918,92500000,406648,0,0,S,91500,100,384267,37234,
000039.SZ,000039,20260918,92500000,406649,0,0,S,91500,100,381633,37234,
000039.SZ,000039,20260918,92500000,406650,0,0,S,91500,700,381633,242091,
000039.SZ,000039,20260918,92500000,406651,0,0,S,91500,200,381633,284558,
000039.SZ,000039,20260918,92500000,406652,0,0,S,91500,600,381633,302719,
000039.SZ,000039,20260918,92500000,406653,0,0,B,91500,500,8827,302719,
000039.SZ,000039,20260918,92500000,406654,0,0,B,91500,100,8827,312110,
000039.SZ,000039,20260918,92500000,406655,0,0,B,91500,200,8827,347271,
000039.SZ,000039,20260918,92500000,406656,0,0,B,91500,200,8827,350016,
000039.SZ,000039,20260918,92500000,406657,0,0,S,91500,100,8827,637,
000039.SZ,000039,20260918,92500000,406658,0,0,B,91500,400,8827,37177,
000039.SZ,000039,20260918,92500000,406659,0,0,S,91500,4400,116867,37177,
000039.SZ,000039,20260918,92500000,406660,0,0,S,91500,500,116867,79919,
000039.SZ,000039,20260918,92500000,406661,0,0,B,91500,100,116867,128857,
000039.SZ,000039,20260918,92500000,406662,0,0,S,91500,300,403675,128857,
000039.SZ,000039,20260918,92500000,406663,0,0,B,91500,100,57047,128857,
000039.SZ,000039,20260918,93000030,481311,0,0,B,91500,200,57047,481310,
000039.SZ,000039,20260918,93000030,481312,0,0,B,91500,500,294188,481310,
000039.SZ,000039,20260918,93000030,481313,0,0,B,91500,4200,385898,481310,
000039.SZ,000039,20260918,93000030,481314,0,0,B,91500,8400,398464,481310,
000039.SZ,000039,20260918,93000030,481315,0,0,B,91500,2800,398541,481310,
000039.SZ,000039,20260918,93000050,510611,C,0, ,0,2200,210228,0,
000039.SZ,000039,20260918,93000060,512163,0,0,S,91300,1500,512162,489927,
000039.SZ,000039,20260918,93000060,512164,0,0,S,91200,2800,512162,129043,
000039.SZ,000039,20260918,93000060,513194,C,0, ,0,1600,73936,0,
000039.SZ,000039,20260918,93000130,555008,0,0,B,91500,100,477366,555007,
000039.SZ,000039,20260918,93000130,555009,0,0,B,91500,100,477454,555007,
000039.SZ,000039,20260918,93000130,555010,0,0,B,91500,100,478633,555007,
000039.SZ,000039,20260918,93000160,569226,0,0,S,91200,6500,569225,129043,
000039.SZ,000039,20260918,93000160,569329,C,0, ,0,59400,569225,0,
000039.SZ,000039,20260918,93000190,577374,0,0,B,91500,100,478633,577373,
000039.SZ,000039,20260918,93000190,577375,0,0,B,91500,400,478650,577373,
000039.SZ,000039,20260918,93000190,577376,0,0,B,91500,300,480065,577373,
000039.SZ,000039,20260918,93000190,577377,0,0,B,91500,100,481787,577373,
000039.SZ,000039,20260918,93000190,577378,0,0,B,91500,100,481838,577373,
000039.SZ,000039,20260918,93000190,577379,0,0,B,91500,200,484477,577373,
000039.SZ,000039,20260918,93000190,577380,0,0,B,91500,200,485559,577373,
000039.SZ,000039,20260918,93000190,577381,0,0,B,91500,100,485932,577373,
000039.SZ,000039,20260918,93000190,577382,0,0,B,91500,100,488094,577373,
000039.SZ,000039,20260918,93000190,577383,0,0,B,91500,100,492132,577373,
000039.SZ,000039,20260918,93000190,577384,0,0,B,91500,200,494105,577373,
000039.SZ,000039,20260918,93000190,578575,C,0, ,0,1400,0,97828,
000039.SZ,000039,20260918,93000190,579564,0,0,B,91800,100,81117,579563,
000039.SZ,000039,20260918,93000240,591625,C,0, ,0,200,397138,0,
000039.SZ,000039,20260918,93000330,613117,0,0,S,91600,2000,613116,601230,
000039.SZ,000039,20260918,93000330,613118,0,0,S,91500,1400,613116,577373,
000039.SZ,000039,20260918,93000410,628022,0,0,S,91500,200,628021,577373,
000039.SZ,000039,20260918,93000420,630934,0,0,S,91500,500,630933,577373,
000039.SZ,000039,20260918,93000600,662181,0,0,S,91300,5500,662180,616281,
000039.SZ,000039,20260918,93000600,662182,0,0,S,91300,100,662180,623242,
000039.SZ,000039,20260918,93000600,662183,0,0,S,91300,400,662180,642101,
000039.SZ,000039,20260918,93000600,662184,0,0,S,91300,1200,662180,650627,
000039.SZ,000039,20260918,93000600,662282,0,0,S,91300,200,662281,650627,
000039.SZ,000039,20260918,93000600,662283,0,0,S,91200,2900,662281,593827,
000039.SZ,000039,20260918,93000610,665271,0,0,B,91200,700,662281,665270,
000039.SZ,000039,20260918,93000610,665272,0,0,B,91200,1300,662377,665270,
000039.SZ,000039,20260918,93000670,674770,0,0,B,91200,200,662377,674769,
000039.SZ,000039,20260918,93000670,674791,0,0,B,91200,100,662377,674790,
000039.SZ,000039,20260918,93000690,678428,0,0,B,91200,200,662377,678427,
000039.SZ,000039,20260918,93000690,678429,0,0,B,91200,800,671393,678427,
000039.SZ,000039,20260918,93000760,690877,C,0, ,0,1200,308075,0,
000039.SZ,000039,20260918,93000860,705473,0,0,B,91200,200,671393,705472,
000039.SZ,000039,20260918,93000890,711309,C,0, ,0,16700,289872,0,
000039.SZ,000039,20260918,93001400,763963,0,0,B,91200,100,671393,763962,
000039.SZ,000039,20260918,93001490,770718,0,0,B,91200,1800,671393,770717,
000039.SZ,000039,20260918,93001730,789013,0,0,B,91200,500,671393,789012,
000039.SZ,000039,20260918,93001730,789180,0,0,S,91000,500,789179,288767,
000039.SZ,000039,20260918,93001880,801629,C,0, ,0,3000,708241,0,
000039.SZ,000039,20260918,93001900,803056,C,0, ,0,700,284711,0,
000039.SZ,000039,20260918,93001960,807371,0,0,S,91000,500,807370,288767,
000039.SZ,000039,20260918,93002400,837981,0,0,B,91200,300,671393,837980,
000039.SZ,000039,20260918,93003170,877461,0,0,B,91200,100,671393,877460,
000039.SZ,000039,20260918,93003210,878958,0,0,S,91000,1000,878957,288767,
000039.SZ,000039,20260918,93003210,878982,0,0,S,91000,700,878981,288767,
000039.SZ,000039,20260918,93003210,879135,0,0,B,91100,100,879016,879134,
000039.SZ,000039,20260918,93003210,879226,0,0,B,91100,200,879016,879225,
000039.SZ,000039,20260918,93003210,879227,0,0,B,91200,500,671393,879225,
000039.SZ,000039,20260918,93003220,879517,C,0, ,0,4400,748708,0,
000039.SZ,000039,20260918,93003220,879668,0,0,B,91200,300,671393,879667,
000039.SZ,000039,20260918,93003240,880329,0,0,B,91200,200,671393,880328,
000039.SZ,000039,20260918,93003250,880698,0,0,B,91200,1000,671393,880697,
000039.SZ,000039,20260918,93003250,880715,0,0,B,91200,1200,671393,880714,
000039.SZ,000039,20260918,93003250,880716,0,0,B,91200,300,879025,880714,
000039.SZ,000039,20260918,93003250,880717,0,0,B,91200,100,879026,880714,
000039.SZ,000039,20260918,93003330,886117,0,0,S,91000,1300,886116,288767,
000039.SZ,000039,20260918,93003330,886118,0,0,S,91000,2000,886116,515506,
000039.SZ,000039,20260918,93003330,886119,0,0,S,91000,200,886116,547046,
000039.SZ,000039,20260918,93003330,886120,0,0,S,91000,600,886116,571620,
000039.SZ,000039,20260918,93003330,886121,0,0,S,91000,300,886116,655651,
000039.SZ,000039,20260918,93003330,886122,0,0,S,91000,800,886116,683763,
000039.SZ,000039,20260918,93003330,886123,0,0,S,91000,1000,886116,752308,
000039.SZ,000039,20260918,93003330,886124,0,0,S,91000,400,886116,800476,
000039.SZ,000039,20260918,93003520,895578,0,0,S,91000,400,895577,800476,
000039.SZ,000039,20260918,93003520,895579,0,0,S,91000,100,895577,830155,
000039.SZ,000039,20260918,93003980,918552,0,0,B,91200,200,879026,918551,
000039.SZ,000039,20260918,93003980,918553,0,0,B,91200,200,879196,918551,
000039.SZ,000039,20260918,93003980,918554,0,0,B,91200,300,879408,918551,
000039.SZ,000039,20260918,93003980,918555,0,0,B,91200,100,879737,918551,
000039.SZ,000039,20260918,93004600,940117,0,0,B,91200,100,879737,940116,
000039.SZ,000039,20260918,93004600,940118,0,0,B,91200,600,881890,940116,
000039.SZ,000039,20260918,93004600,940119,0,0,B,91200,300,901610,940116,
000039.SZ,000039,20260918,93004600,940120,0,0,B,91200,1400,904626,940116,
000039.SZ,000039,20260918,93004600,940125,0,0,B,91200,1900,904626,940124,
000039.SZ,000039,20260918,93004600,940127,0,0,B,91300,300,800354,940126,
000039.SZ,000039,20260918,93004600,940128,0,0,B,91300,200,800362,940126,
000039.SZ,000039,20260918,93004600,940130,0,0,B,91400,300,630933,940129,
000039.SZ,000039,20260918,93004600,940131,0,0,B,91400,1000,717223,940129,
000039.SZ,000039,20260918,93004600,940132,0,0,B,91400,100,733306,940129,
000039.SZ,000039,20260918,93004600,940133,0,0,B,91400,500,739096,940129,
000039.SZ,000039,20260918,93005000,953883,0,0,S,91300,1000,953882,940126,
000039.SZ,000039,20260918,93005050,955544,0,0,S,91300,100,955543,940126,
000039.SZ,000039,20260918,93005130,957503,0,0,S,91300,1200,957502,940134,
000039.SZ,000039,20260918,93005450,963831,0,0,B,91400,200,739096,963830,
000039.SZ,000039,20260918,93005710,967651,0,0,S,91300,600,967650,940246,
000039.SZ,000039,20260918,93005710,967652,0,0,S,91200,200,967650,940124,
000039.SZ,000039,20260918,93005710,967653,0,0,S,91000,200,967650,830155,
000039.SZ,000039,20260918,93006220,975947,0,0,B,91400,200,739096,975946,
000039.SZ,000039,20260918,93006220,975948,0,0,B,91400,1100,804686,975946,
000039.SZ,000039,20260918,93006220,975949,0,0,B,91500,700,646566,975946,
000039.SZ,000039,20260918,93006230,976199,0,0,S,91100,1000,976198,976134,
000039.SZ,000039,20260918,93009250,1039302,C,0, ,0,1600,0,976134,
000039.SZ,000039,20260918,93009250,1039450,C,0, ,0,500,0,881896,
000039.SZ,000039,20260918,93009250,1039470,C,0, ,0,100,0,901756,
000039.SZ,000039,20260918,93009250,1039472,C,0, ,0,10100,0,887689,
000039.SZ,000039,20260918,93009250,1039497,C,0, ,0,300,0,976241,
000039.SZ,000039,20260918,93009250,1039520,C,0, ,0,5500,0,976269,
000039.SZ,000039,20260918,93009250,1039522,C,0, ,0,7800,0,976272,
000039.SZ,000039,20260918,93009250,1039548,0,0,B,91400,100,976281,1039547,
000039.SZ,000039,20260918,93009250,1039549,0,0,B,91400,100,976415,1039547,
000039.SZ,000039,20260918,93009250,1039561,C,0, ,0,100,0,879253,
000039.SZ,000039,20260918,93009250,1039571,C,0, ,0,8500,0,976416,
000039.SZ,000039,20260918,93009260,1039639,C,0, ,0,300,976415,0,
000039.SZ,000039,20260918,93009450,1044672,0,0,S,91200,200,1044671,1004801,
000039.SZ,000039,20260918,93009880,1057716,0,0,B,91400,100,981377,1057715,
000039.SZ,000039,20260918,93009880,1057717,0,0,B,91400,300,981379,1057715,
000039.SZ,000039,20260918,93009880,1057718,0,0,B,91400,100,981386,1057715,
000039.SZ,000039,20260918,93009880,1057719,0,0,B,91400,100,981389,1057715,
000039.SZ,000039,20260918,93009880,1057720,0,0,B,91400,100,981390,1057715,
000039.SZ,000039,20260918,93009880,1057721,0,0,B,91400,300,981391,1057715,
