万得代码,交易所代码,自然日,时间,成交价,成交量,成交额,成交笔数,IOPV,成交标志,BS标志,当日累计成交量,当日成交额,最高价,最低价,开盘价,前收盘,申卖价1,申卖价2,申卖价3,申卖价4,申卖价5,申卖价6,申卖价7,申卖价8,申卖价9,申卖价10,申卖量1,申卖量2,申卖量3,申卖量4,申卖量5,申卖量6,申卖量7,申卖量8,申卖量9,申卖量10,申买价1,申买价2,申买价3,申买价4,申买价5,申买价6,申买价7,申买价8,申买价9,申买价10,申买量1,申买量2,申买量3,申买量4,申买量5,申买量6,申买量7,申买量8,申买量9,申买量10,加权平均叫卖价,加权平均叫买价,叫卖总量,叫买总量,不加权指数,品种总数,上涨品种数,下跌品种数,持平品种数,
600519.SH,600519,20260918,91403000,0,0,0,0,0,,,0,0,0,0,0,12669800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
600519.SH,600519,20260918,91500000,0,0,0,0,0,,,0,0,0,0,0,12669800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13035410,12400000,700,100,0,0,0,0,0,
600519.SH,600519,20260918,91503000,0,0,0,0,0,,,0,0,0,0,0,12669800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13137770,12490470,11800,43900,0,0,0,0,0,
600519.SH,600519,20260918,91506000,0,0,0,0,0,,,0,0,0,0,0,12669800,12669800,0,0,0,0,0,0,0,0,0,400,300,0,0,0,0,0,0,0,0,12669800,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,13244610,12480890,32100,49600,0,0,0,0,0,
600519.SH,600519,20260918,91509000,0,0,0,0,0,,,0,0,0,0,0,12669800,12669800,0,0,0,0,0,0,0,0,0,400,300,0,0,0,0,0,0,0,0,12669800,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,13233610,12453770,42800,56200,0,0,0,0,0,
600519.SH,600519,20260918,91512000,0,0,0,0,0,,,0,0,0,0,0,12669800,12669800,0,0,0,0,0,0,0,0,0,600,200,0,0,0,0,0,0,0,0,12669800,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0,0,0,0,0,13185200,12422810,67540,66700,0,0,0,0,0,
600519.SH,600519,20260918,91515000,0,0,0,0,0,,,0,0,0,0,0,12669800,12669800,0,0,0,0,0,0,0,0,0,600,300,0,0,0,0,0,0,0,0,12669800,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0,0,0,0,0,13178030,12415470,84520,72000,0,0,0,0,0,
600519.SH,600519,20260918,91518000,0,0,0,0,0,,,0,0,0,0,0,12669800,12669800,0,0,0,0,0,0,0,0,0,600,300,0,0,0,0,0,0,0,0,12669800,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0,0,0,0,0,13192620,12413300,89435,74300,0,0,0,0,0,
600519.SH,600519,20260918,91521000,0,0,0,0,0,,,0,0,0,0,0,12669800,12669800,0,0,0,0,0,0,0,0,0,600,300,0,0,0,0,0,0,0,0,12669800,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0,0,0,0,0,13193200,12395320,90735,77100,0,0,0,0,0,
600519.SH,600519,20260918,91524000,0,0,0,0,0,,,0,0,0,0,0,12669800,12669800,0,0,0,0,0,0,0,0,0,600,300,0,0,0,0,0,0,0,0,12669800,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0,0,0,0,0,13192960,12395200,91035,77400,0,0,0,0,0,
600519.SH,600519,20260918,91527000,0,0,0,0,0,,,0,0,0,0,0,12669800,12669800,0,0,0,0,0,0,0,0,0,600,300,0,0,0,0,0,0,0,0,12669800,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0,0,0,0,0,13193190,12373960,91135,79400,0,0,0,0,0,
