万得代码,交易所代码,自然日,时间,委托编号,交易所委托号,委托类型,委托代码,委托价格,委托数量,
600519.SH,600519,20260918,91400830,0,0,S,I,0,0,
600519.SH,600519,20260918,91500040,0,465,A,B,12400000,100,
600519.SH,600519,20260918,91500370,0,1625,A,S,13360000,100,
600519.SH,600519,20260918,91500370,0,2010,A,S,12887900,100,
600519.SH,600519,20260918,91500440,0,2195,A,S,13000000,500,
600519.SH,600519,20260918,91501340,0,3230,A,S,12787900,100,
600519.SH,600519,20260918,91501520,0,3838,A,B,12600600,100,
600519.SH,600519,20260918,91501520,0,3865,A,S,13185600,100,
600519.SH,600519,20260918,91501570,0,4391,A,B,12540000,100,
600519.SH,600519,20260918,91501680,0,5362,A,S,12998800,100,
600519.SH,600519,20260918,91501680,0,5767,A,S,13186800,400,
600519.SH,600519,20260918,91501680,0,5917,A,B,12503300,200,
600519.SH,600519,20260918,91501760,0,7386,A,B,12490000,100,
600519.SH,600519,20260918,91501760,0,7610,A,S,13099900,200,
600519.SH,600519,20260918,91501880,0,8536,A,S,13060000,100,
600519.SH,600519,20260918,91501880,0,8934,A,S,13633500,100,
600519.SH,600519,20260918,91501880,0,8966,A,S,13838000,200,
600519.SH,600519,20260918,91501880,0,9719,A,S,13936800,100,
600519.SH,600519,20260918,91501880,0,9722,A,S,13400000,100,
600519.SH,600519,20260918,91501880,0,9871,A,S,12900000,100,
600519.SH,600519,20260918,91501880,0,10299,A,S,13800000,300,
600519.SH,600519,20260918,91501880,0,10374,A,B,12410000,100,
600519.SH,600519,20260918,91501880,0,10438,A,B,12310000,100,
600519.SH,600519,20260918,91501880,0,10439,A,S,13870000,100,
600519.SH,600519,20260918,91502000,0,10504,A,S,13870000,100,
600519.SH,600519,20260918,91502000,0,10609,A,S,13110000,100,
600519.SH,600519,20260918,91502000,0,10610,A,S,13510000,100,
600519.SH,600519,20260918,91502000,0,10830,A,S,13500000,200,
600519.SH,600519,20260918,91502000,0,10865,A,S,12869800,100,
600519.SH,600519,20260918,91502000,0,11022,A,S,12715900,100,
600519.SH,600519,20260918,91502000,0,11023,A,S,12745900,100,
600519.SH,600519,20260918,91502000,0,11278,A,S,13168900,100,
600519.SH,600519,20260918,91502000,0,11308,A,S,12860600,200,
600519.SH,600519,20260918,91502000,0,11419,A,S,13185100,600,
600519.SH,600519,20260918,91502000,0,11741,A,S,13936800,100,
600519.SH,600519,20260918,91502000,0,11760,A,S,12780000,100,
600519.SH,600519,20260918,91502000,0,12244,A,S,13100000,400,
600519.SH,600519,20260918,91502120,0,12472,A,S,13499900,100,
