rank,pool_rank,code,name,bottom_percentile,range_60d_pct,mean_abs_return_20d_pct,mean_turnover_20d_pct,recent_volume_ratio,event_volume_ratio,outstanding_share,event_open,event_high,event_low,event_close,event_volume,event_amount,event_gain_pct,limit_up_rate_pct,limit_up_price,hit_limit_up,is_st,passes_dormant_filter,dormancy_score,trigger_score,pre_cutoff_sell_qty,active_sell_qty_at_cutoff,persistent_sell_orders,persistent_sell_qty,persistent_sell_share_pct,sell_cancel_ratio_pct,sell_fill_ratio_pct,cancel_to_trade_qty_ratio_pct,gross_sell_float_ratio_pct,active_sell_float_ratio_pct,persistent_sell_float_ratio_pct,max_aggressive_buy_3m,delta_qty,delta_ratio_pct,price_change_from_first_trade_pct,bullish_cvd_divergence,large_order_threshold_qty,large_order_net_flow_pct,buy_imbalance_price_levels,stacked_buy_imbalance_levels,bullish_absorption_ratio_pct,buy_refill_float_ratio_pct,sell_refill_float_ratio_pct,median_order_book_imbalance_pct,aggressive_buy_3m_event_volume_pct,meets_10pct_gross_sell_proxy,forward_3d_pct,forward_1w_pct,forward_2w_pct,forward_3w_pct,lv2_score,score,signal_quality
1,80,003039.SZ,顺控发展,0.160737812911726,14.471243042671622,0.9939441937374884,0.5108825039201589,0.854182557840443,4.666372712028545,617518730.0,12.0,13.2,11.93,12.52,14721450.0,185659885.0,4.333333333333322,10.0,13.2,True,False,True,89.36289697908597,71.42857142857143,18212349,1721723,31,403300,2.214431537634163,24.18304195686125,66.3633559844477,67.77235938035994,2.9492788016324623,0.2788130815076654,0.06530975991610814,2669800,753908,5.121153147278291,4.333333333333322,False,2000,1.232100098835373,12,2,5.494595971145102,2.225778641564443,2.245514561153473,14.29263565891473,18.135441821287984,False,2.635782747603832,6.230031948881809,1.5175718849840258,,66.42857142857142,77.74901792630297,watch
2,633,002945.SZ,华林证券,0.23481308411214954,22.434367541766107,1.2575663599001108,0.5450886851851791,1.175178745429506,3.695524503335152,2700000000.0,14.54,16.04,14.46,16.04,54388492.0,856969748.0,10.013717421124824,10.0,16.04,True,False,True,75.97017815646785,69.28571428571429,62169627,0,0,0,0.0,16.31718813432804,83.68281186567195,278.35176603168185,2.3025787777777778,0.0,0.0,8131236,-1640010,-3.01536214683062,10.316368638239348,False,3600,-3.6232628034621737,13,4,4.2142836515600575,7.1124370370370364,1.8772683703703705,100.0,14.950287645408517,False,-5.6733167082294145,-6.3591022443890255,-14.276807980049867,,54.642857142857146,67.1687230275534,watch
3,557,603585.SH,苏利股份,0.1754901960784313,22.15973003374576,1.2378048875096452,1.362386335151734,0.9350938246168005,3.9911090157955553,270796011.0,10.66,11.75,10.61,11.22,14724350.0,165473818.0,5.0561797752809,10.0,11.75,True,False,True,77.47869868319133,62.499999999999986,11811352,1721617,25,524580,4.441320519446038,34.876159816420675,56.21154970235415,115.4867685160975,4.361715653189589,0.6357615806977304,0.19371777230499898,1083852,-164772,-1.1190443041628324,5.253283302063805,False,2200,0.019260612522793874,4,1,2.2429798076743546,3.332563122578641,1.7719249195291875,2.761688911273399,7.360949719342449,False,-4.9910873440285215,-0.8021390374331583,-7.486631016042777,,53.92857142857142,66.24041440743609,watch
4,892,601933.SH,永辉超市,0.09230769230769226,26.52329749103941,1.6785775203988582,1.553896544474496,1.0626525152520088,3.2108765526127696,8925037165.0,3.1,3.4,3.09,3.28,445303125.0,1454914999.0,6.148867313915862,10.0,3.4,True,False,True,71.37877614252517,39.64285714285714,479431077,78439502,1621,44845128,9.353821675602394,29.555167947529608,55.28696505420736,66.7801275816333,5.371754404341464,0.8788703122448007,0.5024643278334181,72017729,153498509,34.470566313676784,5.806451612903207,False,10200,16.566370155161163,5,1,4.849967143768555,2.811561916896511,4.162167575690986,17.416224418020388,16.172742780549765,False,-3.658536585365846,2.4390243902439046,-9.14634146341463,,74.64285714285714,66.17402069270776,medium
5,320,600830.SH,香溢融通,0.2500000000000003,18.68421052631579,0.9586716572891592,0.9552111530088055,0.8096305411573798,3.416765452311325,454322747.0,8.39,9.23,8.38,9.23,14827879.0,133899067.0,10.011918951132293,10.0,9.23,True,False,True,81.93261037955074,61.07142857142858,8494329,0,0,0,0.0,29.147458263036434,77.28088940280038,340.78073472274764,1.8696684363902212,0.0,0.0,2476000,-2825383,-19.054532344106665,10.011918951132293,False,5200,-16.095747746525312,6,2,3.0512887646487092,12.703950304297662,0.9300557869711947,100.0,16.698274918482948,False,6.067172264355358,4.875406283856987,-10.184182015167941,,44.10714285714285,64.52146038508354,watch
6,1224,300413.SZ,芒果超媒,0.14428766499772416,23.099203475742215,2.4369579198173765,1.8907642501831203,1.2489346668578198,7.1113329590404435,1021699958.0,20.38,20.38,19.66,20.38,137376286.0,2793793896.0,20.02355712603061,20.0,20.38,True,False,True,62.4903175832688,88.21428571428571,126652903,0,0,0,0.0,4.299371645670056,95.70062835432994,81.6545717359108,12.39629129944625,0.0,0.0,15994473,-75656692,-55.072599647947975,0.0,False,8900,-32.626628878291264,12,3,2.009660682676088,23.454899662431032,10.933421316632765,100.0,11.642819489238484,True,4.268891069676162,1.1776251226693013,-17.909715407262016,,44.464285714285715,61.3260000553281,medium
7,1194,000158.SZ,常山北明,0.048242591316333516,36.15771812080537,1.6006251433654506,2.2543920043134436,1.2362563943439164,2.6247417473958947,1590643645.0,12.63,13.88,12.61,13.88,94121515.0,1266982945.0,9.984152139461177,10.0,13.88,True,False,True,63.55925639039505,24.64285714285714,103360645,16140910,188,3516858,3.4025116619579916,30.195398838697262,54.18849311553735,58.346577825484424,6.498039037524335,1.0147407969558133,0.22109653605034835,17308510,12768053,13.565498812890976,9.897070467141722,False,3700,3.878955837036835,20,3,3.439312760900083,20.97999140467443,5.311707576086283,28.821888774375363,18.389536122532665,False,-1.9452449567723407,-1.0806916426512991,-8.861671469740639,,78.92857142857142,61.15523680424919,medium
8,623,600967.SH,内蒙一机,0.07090301003344485,23.55289421157687,1.441242190260041,1.311471603054443,1.2602822458487752,3.069882601443468,1701794667.0,11.05,12.19,11.01,12.19,68515340.0,815818083.0,10.018050541516232,10.0,12.19,True,False,True,76.16189000774594,53.92857142857142,31589694,0,0,0,0.0,27.627029245677402,75.04015075296392,303.6361360828101,1.8562576680116016,0.0,0.0,12148142,-21505386,-31.387695076752152,10.316742081447948,False,5000,-20.81912605264748,31,4,2.999087121336924,17.935149105741086,0.7278877552153006,100.0,17.730543262282577,False,12.059064807219034,13.78178835110746,10.090237899917964,,44.642857142857146,60.683564789199956,watch
9,1322,605188.SH,国光连锁,0.16685649202733482,37.60523854069224,1.8730256054301795,1.5170131945764225,1.631014765265523,3.8760880865212277,507746500.0,13.78,14.98,13.78,14.98,29855884.0,437708468.0,9.985315712187969,10.0,14.98,True,False,True,58.16227730441519,61.60714285714285,19198196,0,0,0,0.0,28.94061504528863,76.37696791927742,210.59732145261552,3.7810592490544006,0.0,0.0,3667900,-3038244,-10.176365904958635,8.70827285921627,False,2900,-5.706540124553003,4,2,9.256120119676071,13.115863920283054,2.192416885197633,100.0,12.285350519180742,False,-4.539385847797062,-0.734312416555416,-19.69292389853138,,55.17857142857142,57.8069533584154,watch
10,836,605300.SH,佳禾食品,0.2445193929173692,33.01204819277106,1.219153322861824,0.6465998397437795,0.9673835157901011,2.775030235108558,454398597.0,9.88,10.73,9.69,10.73,8153429.0,85592985.0,10.051282051282051,10.0,10.73,True,False,True,72.23857474825716,54.642857142857146,3200252,0,0,0,0.0,25.063619989925794,80.22193252281383,434.46439528694,0.7042829843948659,0.0,0.0,1507250,-3372725,-41.36572477665532,8.603238866396756,False,4000,-28.524759337451766,14,1,2.640967663628301,6.27928809384066,0.24644640353059893,100.0,18.486087264634303,False,-3.821062441752099,5.125815470643036,-9.599254426840641,,37.32142857142857,56.49843006528715,watch
