rank,pool_rank,code,name,bottom_percentile,range_60d_pct,mean_abs_return_20d_pct,mean_turnover_20d_pct,recent_volume_ratio,event_volume_ratio,outstanding_share,event_open,event_high,event_low,event_close,event_volume,event_amount,previous_close,event_gain_pct,limit_up_rate_pct,limit_up_price,hit_limit_up,is_st,passes_dormant_filter,dormancy_score,trigger_score,launch_detected,launch_type,t_start,t_detect,data_quality_valid,data_quality_reason,negative_remaining_cnt,negative_remaining_qty,orphan_cancel_cnt,orphan_cancel_qty,unknown_link_ratio_pct,pre_cutoff_sell_qty,fixed_1320_gross_sell_qty,fixed_1320_gross_sell_float_ratio_pct,active_sell_qty_at_cutoff,persistent_sell_orders,persistent_sell_qty,persistent_sell_share_pct,sell_lifetime_mean_seconds,sell_lifetime_median_seconds,above_market_sell_share_pct,above_market_sell_distance_bps,sell_wall_refill_ratio_pct,large_sell_cancel_ratio_pct,sell_cancel_ratio_pct,sell_fill_ratio_pct,cancel_to_trade_qty_ratio_pct,gross_sell_float_ratio_pct,active_sell_float_ratio_pct,persistent_sell_float_ratio_pct,max_aggressive_buy_3m,max_aggressive_buy_3m_float_pct,max_aggressive_buy_3m_volume_pct,max_aggressive_buy_3m_prelaunch_sell_pct,launch_buy_qty,launch_absorption_ratio_pct,churn_proxy_pct,delta_qty,delta_ratio_pct,price_change_from_first_trade_pct,bullish_cvd_divergence,large_order_threshold_qty,large_order_net_flow_pct,buy_imbalance_price_levels,stacked_buy_imbalance_levels,bullish_absorption_ratio_pct,buy_refill_float_ratio_pct,sell_refill_float_ratio_pct,median_order_book_imbalance_pct,aggressive_buy_3m_event_volume_pct,meets_10pct_gross_sell_proxy,forward_3d_pct,forward_1w_pct,forward_2w_pct,forward_3w_pct,lv2_score,lv2_score_v2,lv2_score_used,score,signal_quality
1,438,003039.SZ,顺控发展,0.2292490118577075,22.44897959183674,1.1901358399291335,0.6002138024218254,1.0035422177697755,5.3567707482827185,617518730.0,12.46,13.77,12.18,13.77,19854510.0,258174121.0,12.52,9.984025559105426,10.0,13.77,True,False,True,79.09759876065065,77.5,True,CONTINUOUS_TRIGGER,130600000,130859999,True,,0,0,0,0,0.0,11874846,19582063,3.1710881061048948,1535324,39,629800,5.303647727305264,10677.232684319833,11914.825,40.6109350807581,274.0820488355401,12.370274107133685,16.531753317199367,22.83172345982424,64.23906465818588,28.453696414567776,1.922993655593248,0.2486279242088738,0.10198880931109572,3022200,0.48941025643060254,15.221730478364865,25.450435315119037,667224,43.4581886298918,0.0,-4748660,-23.91728629918341,10.513643659711057,False,3100,-3.153087132344238,17,2,34.20119439893314,8.759086546249375,2.791526663490839,76.77902621722846,15.221730478364865,False,-7.116920842411045,-5.15613652868554,-8.787218591140157,,67.25,,legacy,74.6314194422928,medium
2,319,002059.SZ,云南旅游,0.18427518427518427,21.144278606965194,1.0986197425343351,0.9200942894959874,0.981654524203235,7.794259098689119,990393246.0,4.76,5.25,4.73,5.25,71025589.0,368884408.0,4.77,10.062893081761025,10.0,5.25,True,False,True,81.58597986057319,94.5,False,NONE,0,0,False,launch_not_detected,0,0,0,0,0.0,0,61424792,6.202060873100906,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4160300,0.4200654655918362,5.857466384404077,0.0,0,0.0,0.0,-53759587,-75.69044869166801,10.294117647058831,False,11100,3.8504432536279283,8,2,3.6303991749789253,25.8965417056166,6.759803872895151,100.0,5.857466384404077,False,15.61904761904762,14.476190476190464,-15.61904761904762,,40.25,,legacy,69.70119093725793,invalid
3,1113,600967.SH,内蒙一机,0.18968531468531466,23.55289421157687,1.9249330133771612,1.4490343505113312,1.3891852549105854,2.636443422032175,1701794667.0,12.5,13.41,12.5,13.41,65013612.0,845514047.0,12.19,10.008203445447084,10.0,13.41,True,False,True,65.27885360185903,53.5,False,NONE,0,0,False,launch_not_detected,0,0,0,0,0.0,0,37157818,2.1834489624710995,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20421431,1.199993829807906,31.411008205481643,0.0,0,0.0,0.0,-5508330,-8.472579557647098,7.279999999999998,False,5000,20.778656322002227,11,2,28.146176122035893,5.2678278254353,1.2838993695118919,100.0,31.411008205481643,False,-0.521998508575694,7.606263982102912,0.4474272930648837,,65.75,,legacy,63.087984120836566,invalid
4,1227,600657.SH,信达地产,0.2409090909090908,32.14285714285714,1.8886320807453605,1.028387149839381,1.2998456474032507,4.240873260083851,2851878595.0,2.83,3.05,2.69,3.05,124377828.0,363209889.0,2.77,10.10830324909746,10.0,3.05,True,False,True,61.357474825716494,77.5,True,CONTINUOUS_TRIGGER,104300000,104559999,True,,0,0,0,0,0.0,46070484,76114724,2.6689328267145256,5084200,92,2237500,4.856688720700221,2835.154514402645,3466.8150000000023,61.07815146895352,209.8664055080397,30.012491294860283,53.165497050846,47.27968562257779,41.684615251708664,31.530240261150084,1.615443381102273,0.17827547108470093,0.07845705647929238,7860900,0.2756393632527685,6.320177901804171,17.06276843108486,7855900,154.51595137878132,6.84793310564694,-25992292,-20.897850057326938,7.773851590105996,False,10000,-5.229023616652961,0,0,15.718282328962696,9.671654553724087,1.498202485719768,46.0162778008694,6.320177901804171,False,9.180327868852478,2.2950819672131306,-8.52459016393442,,53.75,,legacy,61.923363671572424,watch
5,1247,001278.SZ,一彬科技,0.27064538514920183,38.625592417061604,1.445394577129892,2.248449753748092,0.7451618646371297,1.842991511245598,85348376.00000001,16.45,18.22,16.31,18.22,3536729.0,61707944.0,16.56,10.024154589371982,10.0,18.22,True,False,True,60.602246320681644,38.0,True,CONTINUOUS_TRIGGER,131600000,131859999,True,,0,0,0,0,0.0,2301400,3027556,3.547291866455666,228300,2,61200,2.6592508907621446,10262.57816488123,11633.399999999998,43.40836012861736,305.91405772136477,10.093855913791606,0.0,34.11401755453202,55.9659337794386,47.99632654919277,2.6964777865251937,0.2674919086919708,0.07170610955737458,414912,0.48613930275603595,11.731518021312914,18.02867819588077,414912,181.73981603153746,46.39804180642622,-1559705,-44.100212371374795,10.759878419452896,False,1500,3.6276457709934804,13,2,29.21258275884668,20.17788832912298,3.7984659485495067,32.229446555168224,11.731518021312914,False,-11.63556531284302,-9.934138309549933,-14.050493962678367,,63.74999999999999,,legacy,57.18351084430674,watch
6,1017,000852.SZ,石化机械,0.150313152400835,23.3820459290188,1.8405053824456743,1.7360742129055564,1.1781822767445824,3.526911090681044,950258873.0,5.82,6.06,5.68,6.06,58184155.0,348293126.0,5.51,9.981851179673317,10.0,6.06,True,False,True,67.49806351665376,45.0,False,NONE,0,0,False,launch_not_detected,0,0,0,0,0.0,0,60955036,6.414571621684821,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11934410,1.2559114509841574,20.511443364606738,0.0,0,0.0,0.0,-28616247,-49.182199174328474,4.123711340206171,False,10000,10.468434232653202,4,2,3.7976782642089604,28.797489586819147,6.210679813352293,100.0,20.511443364606738,False,-6.930693069306926,-0.4950495049504844,-8.745874587458735,,49.25,,legacy,56.61162858249419,invalid
7,1328,000985.SZ,大庆华科,0.31763698630136994,34.58646616541352,1.5896212102091622,1.598680456188117,1.198994156952359,4.759063157539969,129639500.0,17.21,18.71,16.72,17.5,9863260.0,176264348.0,17.01,2.8806584362139898,10.0,18.71,True,False,True,56.71862896979085,55.00000000000001,False,NONE,0,0,False,launch_not_detected,0,0,0,0,0.0,0,9620400,7.42088638107984,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,805000,0.6209527188858334,8.16160174222316,0.0,0,0.0,0.0,-3086900,-31.296954556607044,1.685066821615333,False,2100,13.128012442133738,19,2,9.936556768410583,39.05692323713066,6.6815823880838785,35.28527952678634,8.16160174222316,False,3.028571428571425,1.8857142857142684,-5.3714285714285825,,53.0,,legacy,55.07338303640588,invalid
8,1118,000635.SZ,英 力 特,0.30393996247654786,31.96428571428571,1.7325653881829506,1.1955208003266593,0.7284956466667359,2.353008404783939,366819816.0,7.94,7.94,7.94,7.94,10318900.0,81932066.0,7.22,9.972299168975084,10.0,7.94,True,False,True,65.04647560030985,36.5,False,NONE,0,0,False,launch_not_detected,0,0,0,0,0.0,0,10509800,2.8651123907657157,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,57.00510713351229,-10318900,-100.0,0.0,False,10000,0.0,0,0,100.0,7.212778275860647,1.6035938472855022,100.0,0.0,False,-6.92695214105794,-5.16372795969774,-7.304785894206544,,38.75,,legacy,50.13341402013943,invalid
9,1393,603530.SH,神马电力,0.3816025067144137,38.361758347345656,2.3919320793858185,1.1055178198145468,1.149330477254224,1.7013395425026254,427464774.00000006,45.42,50.39,44.63,50.39,8040019.0,393086567.0,45.81,9.997817070508619,10.0,50.39,True,False,True,49.54105344694035,33.5,True,CONTINUOUS_TRIGGER,93900000,94159999,True,,0,0,0,0,0.0,605104,5004352,1.1707051210727364,144104,0,0,0.0,471.1849999999999,403.2649999999994,50.653110870197516,216.8233419109926,5.073508025066766,0.0,45.793780903778526,30.39146989608398,7.3134155528736935,0.14155645957390628,0.033711315824119806,0.0,461300,0.10791532497131565,5.737548630171148,76.23482905417912,190112,131.92694165325042,0.0,-1645403,-20.465163079838494,10.942316160281806,False,1200,13.712604410511966,62,3,4.648222865250476,4.341081915676167,0.341339003526873,100.0,5.737548630171148,False,-0.7739630879142645,-5.239134748958129,-11.391149037507443,,57.75,,legacy,49.20597405112316,watch
10,1371,002265.SZ,建设工业,0.20371412492965665,37.30308758664147,2.260356599916772,1.630235655438398,1.6444236381137738,1.060620947171521,1033040407.0,19.3,21.44,19.26,21.44,17861910.0,377639477.0,19.49,10.005130836326327,10.0,21.44,True,False,True,53.43532145623547,24.0,False,NONE,0,0,False,launch_not_detected,0,0,0,0,0.0,0,16688653,1.6154888895841613,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5192750,0.5026666880417583,29.07163903524315,0.0,0,0.0,0.0,-7430610,-41.600310381140645,11.088082901554408,False,3100,12.493484739313992,37,5,4.542054330687492,10.324939787181044,1.5074679455399076,100.0,29.07163903524315,False,-2.985074626865669,1.0727611940298587,-6.38992537313433,,55.50000000000001,,legacy,48.270894655305966,invalid
