rank,pool_rank,code,name,bottom_percentile,range_60d_pct,mean_abs_return_20d_pct,mean_turnover_20d_pct,recent_volume_ratio,event_volume_ratio,outstanding_share,event_open,event_high,event_low,event_close,event_volume,event_amount,previous_close,event_gain_pct,limit_up_rate_pct,limit_up_price,hit_limit_up,is_st,passes_dormant_filter,dormancy_score,trigger_score,launch_detected,launch_type,t_start,t_detect,data_quality_valid,data_quality_reason,negative_remaining_cnt,negative_remaining_qty,orphan_cancel_cnt,orphan_cancel_qty,unknown_link_ratio_pct,pre_cutoff_sell_qty,fixed_1320_gross_sell_qty,fixed_1320_gross_sell_float_ratio_pct,active_sell_qty_at_cutoff,persistent_sell_orders,persistent_sell_qty,persistent_sell_share_pct,sell_lifetime_mean_seconds,sell_lifetime_median_seconds,above_market_sell_share_pct,above_market_sell_distance_bps,sell_wall_refill_ratio_pct,large_sell_cancel_ratio_pct,sell_cancel_ratio_pct,sell_fill_ratio_pct,cancel_to_trade_qty_ratio_pct,gross_sell_float_ratio_pct,active_sell_float_ratio_pct,persistent_sell_float_ratio_pct,max_aggressive_buy_3m,max_aggressive_buy_3m_float_pct,max_aggressive_buy_3m_volume_pct,max_aggressive_buy_3m_prelaunch_sell_pct,launch_buy_qty,launch_absorption_ratio_pct,churn_proxy_pct,delta_qty,delta_ratio_pct,price_change_from_first_trade_pct,bullish_cvd_divergence,large_order_threshold_qty,large_order_net_flow_pct,buy_imbalance_price_levels,stacked_buy_imbalance_levels,bullish_absorption_ratio_pct,buy_refill_float_ratio_pct,sell_refill_float_ratio_pct,median_order_book_imbalance_pct,aggressive_buy_3m_event_volume_pct,meets_10pct_gross_sell_proxy,forward_3d_pct,forward_1w_pct,forward_2w_pct,forward_3w_pct,lv2_score,lv2_model_score,lv2_score_used,score,signal_quality
1,443,000868.SZ,安凯客车,0.12903225806451607,17.554858934169282,1.3424675155369292,1.0935886707423483,0.9708864520175878,1.472723736141369,939513985.0,3.55,3.91,3.54,3.91,15131380.0,58036629.0,3.55,10.140845070422543,10.0,3.91,True,False,True,79.27117658460944,44.0,False,NONE,0,0,False,launch_not_detected,0,0,0,0,0.0,0,15192580,1.6170679992592127,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2591900,0.2758766810693084,17.12930347397263,0.0,0,0.0,0.0,-7700380,-50.89013692075673,10.140845070422543,False,10000,9.300539673182486,8,3,4.3649723017410835,7.440655606632614,1.3701531010206305,100.0,17.12930347397263,False,3.8363171355498604,2.0460358056265893,,,48.16666666666667,86.66666666666667,v4,74.80536279640758,invalid
2,151,002232.SZ,启明信息,0.09366391184573013,19.11421911421911,1.0555655690834873,0.87771981661269,0.8202564817829792,2.1913506910343488,408548455.00000006,14.42,15.28,14.38,15.28,7857988.0,119071579.0,13.89,10.007199424046064,10.0,15.28,True,False,True,86.52258189571623,45.0,False,NONE,0,0,False,launch_not_detected,0,0,0,0,0.0,0,7572670,1.8535549228793433,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1215440,0.29750204293392807,15.467572615280146,0.0,0,0.0,0.0,-5265708,-67.01089388275982,5.963938973647709,False,3500,5.2781958944197935,12,3,5.435968647856519,9.457629695356452,1.7539339366734357,100.0,15.467572615280146,False,2.2905759162303863,3.0759162303664933,,,44.5,73.33333333333333,v4,73.60182851973897,invalid
3,1478,600697.SH,欧亚集团,0.28637770897832837,29.130434782608706,1.6182937430519413,2.351955480387363,1.0222599026518966,2.8001277482574514,155376015.0,10.94,12.16,10.9,12.16,10232716.0,123196762.0,11.05,10.045248868778266,10.0,12.16,True,False,True,55.90036828842799,51.33333333333333,False,NONE,0,0,False,launch_not_detected,0,0,0,0,0.0,0,2285300,1.4708190321395487,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1433500,0.9226005699785775,14.008988424969479,0.0,0,0.0,0.0,-6917516,-67.60195435894049,11.151736745886653,False,6400,5.4267117351835035,24,4,0.6950343295647545,23.70217822873112,0.3723869478825287,100.0,14.008988424969479,False,-7.236842105263164,-3.0427631578947456,,,40.66666666666667,100.0,v4,70.42183239645927,invalid
4,766,002339.SZ,积成电子,0.14986376021798373,25.404530744336572,1.217329204846193,2.146470475825315,0.6955102706934787,4.565742744567741,478793604.0,7.25,8.01,7.25,7.7,46922884.0,362376795.0,7.28,5.769230769230771,10.0,8.01,True,False,True,73.77592556697034,63.66666666666666,False,NONE,0,0,False,launch_not_detected,0,0,0,0,0.0,0,49464300,10.331027730270181,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6963510,1.4543865961918738,14.840328228759342,0.0,0,0.0,0.0,3788406,8.073685325906226,6.20689655172415,False,2700,23.093482489268986,2,1,2.3716526719066824,17.39507364012323,9.383372213969675,16.85930904537541,14.840328228759342,False,6.883116883116891,3.766233766233773,,,52.83333333333333,66.66666666666666,v4,69.26583317180331,invalid
5,401,600609.SH,金杯汽车,0.12162162162162161,13.861386138613874,1.2442311284868306,1.269297855466595,1.030038608251713,6.384172562759599,1304558558.0,3.28,3.63,3.28,3.52,105713814.0,376223172.0,3.3,6.666666666666665,10.0,3.63,True,False,True,80.0387672029463,83.33333333333333,True,CONTINUOUS_TRIGGER,93900000,94159999,True,,0,0,0,0,0.0,6808600,66219494,5.076007787762333,2635900,0,0,0.0,547.400095902354,442.9300000000003,67.4896454484035,300.35938107203486,11.626472402549716,36.48792194507829,32.13729694797755,29.14842992685721,5.3871862006605875,0.5219083465626999,0.20205302275131753,0.0,17113910,1.311854488635381,16.188906021307677,251.35725406104044,3673500,139.364164042642,0.0,-2759718,-2.6105557027769333,7.317073170731714,False,8900,19.68064930473514,2,1,2.654841182824212,12.185651385685057,3.082559364882109,-8.748252173384401,16.188906021307677,False,1.7045454545454586,6.25,,,54.166666666666664,46.666666666666664,v4,69.01744524132583,watch
6,1430,000839.SZ,国安股份,0.26288659793814445,35.77586206896552,1.4420745743333818,1.7953328114673535,1.0029647540777071,2.552632124510502,3919826352.0,3.08,3.11,3.06,3.11,179638751.0,558290975.0,2.83,9.893992932862194,10.0,3.11,True,False,True,58.17406474122892,42.0,True,AUCTION_TRIGGER,92500000,92500000,True,,0,0,0,0,0.0,39577600,172656201,4.404690042249096,28260700,0,0,0.0,359.5105211379953,385.91999999999825,91.36304374191462,896.5361647305849,23.92565491591203,5.449227501795437,5.820211432729625,22.773993369987064,129.56235706626572,1.0096773797085794,0.7209681619080048,0.0,29293066,0.7473051959318018,16.306652009621242,74.01425553848642,6269500,22.184517722490952,0.0,-108513619,-60.406576195800874,0.9740259740259605,False,30000,-7.303621254859426,1,1,0.402981242181003,19.556547437589145,3.8445746690566662,100.0,16.306652009621242,False,-12.218649517684888,-6.430868167202563,,,47.83333333333334,93.33333333333333,v4,67.24499580021967,watch
7,1242,000572.SZ,海马汽车,0.08276643990929705,30.841121495327116,1.764372232400655,2.330298981868177,0.9207231371099631,1.4005034021105083,1642253066.9999998,3.93,4.33,3.9,4.33,53596434.0,227811707.0,3.94,9.898477157360407,10.0,4.33,True,False,True,64.27214576468309,21.666666666666664,True,CONTINUOUS_TRIGGER,93300000,93559999,True,,0,0,0,0,0.0,6361800,52930134,3.2230193423654607,2210100,0,0,0.0,289.69052990556145,149.60499999999956,66.49533150995002,391.28251224537183,14.005470149957558,6.770658615677067,7.77295733911786,57.486874783866206,6.971172746306219,0.3873824398831219,0.1345773099414769,0.0,17220000,1.0485594666269547,32.12900320942994,270.67810996887675,11385800,515.1712592190398,3.1624625282275347,-11276434,-21.039522890646044,10.178117048346058,False,8600,10.373264758621815,1,1,4.128690595273205,9.459425171528697,2.997633859800245,100.0,32.12900320942994,False,0.6928406466512715,-1.8475750577367167,,,56.16666666666668,80.0,v4,61.25579892744072,watch
8,1568,600088.SH,中视传媒,0.3040254237288137,27.255460588793934,2.4569956755181446,2.2015225804764476,1.4924678461558785,4.897851502105591,397706400.0,14.47,14.74,13.18,14.74,42883610.0,605659323.0,13.4,10.000000000000009,10.0,14.74,True,False,True,47.451056406280294,73.33333333333333,False,NONE,0,0,False,launch_not_detected,0,0,0,0,0.0,0,29366213,7.383892489534993,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3038684,0.7640520745957319,7.085886659262128,0.0,0,0.0,0.0,-9550124,-22.26986953756925,1.8659295093296446,False,3400,17.140751443267018,5,1,18.351727534796588,12.483791309367916,2.7328046518738445,53.69708409257535,7.085886659262128,False,9.905020352781534,0.47489823609225823,,,51.16666666666667,60.0,v4,57.0196420494928,invalid
9,410,601279.SH,英利汽车,0.14613180515759305,23.344947735191624,1.1512457774306777,0.6814110574952474,0.9977210497153246,4.371078041108603,1585785985.0,3.39,3.72,3.35,3.54,47232650.0,168495374.0,3.38,4.7337278106508895,10.0,3.72,True,False,True,79.8623764295406,64.66666666666666,True,CONTINUOUS_TRIGGER,94000000,94259999,True,,0,0,0,0,0.0,3408299,30968796,1.9528988333189237,1167900,0,0,0.0,411.14911410347275,226.09999999999854,72.540584027399,200.4516321865247,19.068162740416845,51.71058835856866,40.39255358758137,25.34108656546858,5.692035064727471,0.21492805663810935,0.07364802129967114,0.0,4634400,0.2922462453216851,9.811856840554151,135.9739858504198,2818600,241.3391557496361,3.197032949426886,-3384558,-7.165716935213248,4.424778761061954,False,4900,13.063844607490793,2,1,3.629990812610605,3.4952272579203054,1.2911702583876727,43.60955609871481,9.811856840554151,False,0.28248587570620654,-0.8474576271186529,,,43.83333333333333,20.0,v4,55.871402726626606,watch
10,1091,002362.SZ,汉王科技,0.1149851632047477,33.7463556851312,1.4165753873336482,1.735304513248615,0.9555068297962489,3.7384116129482505,207672672.0,15.29,16.8,15.21,15.91,13472313.0,217571983.0,15.27,4.191224623444656,10.0,16.8,True,False,True,67.44717968598565,49.0,True,CONTINUOUS_TRIGGER,95800000,100059999,True,,0,0,0,0,0.0,6513497,15825506,7.620408524430215,1225059,1,20000,0.30705472037524545,827.1663640379943,843.9700000000012,59.36717250349544,185.9565222327673,24.02856714296483,12.731142743115607,20.246574152102934,60.94541841348817,22.812578656686494,3.1364247097470774,0.5898989925838678,0.00963054012229399,1920291,0.9246719760990025,14.253610348868825,29.481720802205018,845316,69.00206439036813,0.0,342063,2.5390072216997925,4.054937867887509,False,1200,14.87921932930151,8,2,2.999181279869005,14.168113559014639,5.741423695843814,38.52541703321981,14.253610348868825,False,4.336895034569466,4.9654305468259,,,68.16666666666667,33.33333333333333,v4,51.8178975253602,watch
11,1373,600798.SH,宁波海运,0.2441860465116279,20.999999999999996,1.636878016689094,2.2609830353246605,1.3030278768187713,4.12880255401434,1206534201.0,3.45,3.76,3.44,3.6,112631808.0,414135750.0,3.42,5.263157894736836,10.0,3.76,True,False,True,60.35471990695871,52.0,False,NONE,0,0,False,launch_not_detected,0,0,0,0,0.0,0,60084867,4.979955557844979,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7272162,0.6027315258840309,6.456579299517237,0.0,0,0.0,0.0,-35964922,-31.931407866594842,4.347826086956519,False,8400,12.574778165684778,1,1,0.21507875711666066,13.256742400458485,3.2708189264168235,30.052296927112224,6.456579299517237,False,-1.6666666666666718,-2.777777777777779,,,34.833333333333336,40.0,v4,51.55962395813142,invalid
