pool_rank,code,name,bottom_percentile,range_60d_pct,mean_abs_return_20d_pct,mean_turnover_20d_pct,recent_volume_ratio,event_volume_ratio,outstanding_share,event_open,event_high,event_low,event_close,event_volume,event_amount,previous_close,event_gain_pct,limit_up_rate_pct,limit_up_price,hit_limit_up,is_st,passes_dormant_filter,dormancy_score
1,600029.SH,南方航空,0.017094017094016978,14.747474747474731,0.6581881032613242,0.4161505242812979,0.5514991990282906,0.9088634503297927,13476973184.0,4.99,5.0,4.96,4.98,50973145.0,253564389.0,5.01,-0.5988023952095634,10.0,5.51,False,False,True,98.55538342370255
2,601669.SH,中国电建,0.043999999999999775,14.348785871964665,0.5616362035101685,0.632359178634064,0.4965552561459906,0.7352688609739726,13071525850.0,4.63,4.64,4.6,4.61,60776584.0,280245425.0,4.64,-0.6465517241379226,10.0,5.1,False,False,True,97.69945778466305
3,600905.SH,三峡能源,0.07920792079207926,17.17451523545708,0.4918765328702662,0.253743164232398,0.5455202948907049,0.9258860801693024,28587650142.0,3.69,3.7,3.66,3.67,67163043.0,246726699.0,3.69,-0.5420054200542035,10.0,4.06,False,False,True,97.28117738187451
4,601021.SH,春秋航空,0.0656595002905289,13.627950023137437,0.8908969181759531,0.4454485860900576,0.5839565693285657,1.0737849096979135,978333423.0,43.26,43.28,43.0,43.07,4679525.0,201471797.0,43.74,-1.531778692272523,10.0,48.11,False,False,True,97.17660728117738
5,601727.SH,上海电气,0.06967213114754096,18.354430379746844,0.7792991324046683,0.4110840567450035,0.5038814308873533,0.8459078460121559,12615639635.999998,6.62,6.62,6.54,6.55,43869528.0,287759661.0,6.66,-1.6516516516516533,10.0,7.33,False,False,True,96.47366382649109
6,601111.SH,中国国航,0.02688172043010744,17.626527050610807,0.9045596569524129,0.49815553058269346,0.6764045065340523,1.1520928546051026,11638109474.0,5.78,5.78,5.72,5.73,66793604.0,383373967.0,5.83,-1.715265866209259,10.0,6.41,False,False,True,95.73780015491866
7,688425.SH,铁建重工,0.11734693877551022,11.688311688311682,0.6553321946846429,0.265187189568115,0.7534797336937074,1.0624295642991672,5333497000.0,4.07,4.09,4.02,4.03,15026739.0,60614407.0,4.08,-1.225490196078427,20.0,4.9,False,False,True,95.4570100697134
8,000157.SZ,中联重科,0.02167182662538708,16.36636636636637,0.9308606745780384,0.6992960508772685,0.7167063509314364,1.041915808866334,7070417363.0,6.69,6.71,6.58,6.59,51515599.0,340997222.0,6.73,-2.08023774145617,10.0,7.4,False,False,True,94.70371804802478
9,688819.SH,天能股份,0.059786028949024496,21.286889211417503,0.92037959105634,0.227501789939302,0.6662541086467724,0.8161028066850463,972100000.0,21.48,21.64,21.16,21.26,1804848.0,38370732.0,21.62,-1.6651248843663202,20.0,25.94,False,False,True,94.22734314484896
10,605259.SH,绿田机械,0.13550135501355012,14.320388349514568,1.0623301995532215,0.4473134566326491,0.5041383350344292,1.1115629571903742,172480000.0,17.99,17.99,17.74,17.92,857600.0,15305656.0,17.98,-0.33370411568408587,10.0,19.78,False,False,True,94.01045701006971
11,601881.SH,中国银河,0.14374034003091207,17.677642980935882,0.6368775585882236,0.3360718340014415,0.655023819501553,1.0479972230472854,7243417622.999999,12.4,12.45,12.27,12.34,25511487.0,314722089.0,12.47,-1.0425020048115519,10.0,13.72,False,False,True,93.96785437645237
12,600372.SH,中航机载,0.1334355828220858,14.354527938342954,0.9301520681856357,0.4633058693795605,0.6762848894049126,1.5008744789846238,4838896630.0,11.22,11.38,11.16,11.32,33647943.0,379929080.0,11.25,0.6222222222222351,10.0,12.38,False,False,True,93.95042602633617
13,001289.SZ,龙源电力,0.07677902621722851,24.36750998668442,0.7514247306681365,0.09486781747671648,0.512307976468959,0.6479832665049594,5041934164.0,15.19,15.19,15.06,15.07,3099416.0,46830859.0,15.22,-0.9855453350854138,10.0,16.74,False,False,True,93.9155693261038
14,601618.SH,中国中冶,0.08947368421052629,15.416666666666679,1.0364046677289802,0.43470282041533653,0.7622888019713663,0.9559840587794018,17852619170.0,2.56,2.57,2.52,2.53,74189945.0,188089757.0,2.57,-1.5564202334630406,10.0,2.83,False,False,True,93.82842757552285
15,600271.SH,航天信息,0.08376963350785348,13.38582677165354,0.9823430370481727,0.6628335541308485,0.7623479580561362,0.7197583697374916,1852884638.0,6.96,6.98,6.88,6.95,8839742.0,61262007.0,6.99,-0.5722460658083017,10.0,7.69,False,False,True,93.73741285824943
16,601800.SH,中国交建,0.13897280966767372,16.636528028933096,0.7953436252525714,0.23090017837426197,0.737611020390028,0.9351253841562711,11722873078.999998,5.97,5.99,5.88,5.89,25312100.0,149845480.0,5.99,-1.6694490818030094,10.0,6.59,False,False,True,93.50890782339272
17,603885.SH,吉祥航空,0.04475043029259894,21.356275303643724,1.0434122836395003,0.52663303628269,0.5713053210946496,1.3740031109812292,2169005268.0,10.0,10.1,9.92,10.09,15694823.0,157099113.0,10.14,-0.4930966469428033,10.0,11.15,False,False,True,93.50697134004648
18,600167.SH,联美控股,0.10404624277456648,20.352250489236788,0.9418665336936776,0.3164891722196454,0.6497339515153967,1.4482985302378257,2262840463.0,5.63,5.76,5.53,5.72,10372200.0,58423783.0,5.65,1.2389380530973382,10.0,6.22,False,False,True,93.3907823392719
19,600221.SH,海航控股,0.031250000000000035,24.031007751937985,0.5654361346339332,0.4703568768286185,0.6996499218201891,1.0014656812991565,42845514933.0,1.3,1.31,1.29,1.3,201822200.0,262523683.0,1.31,-0.7633587786259555,10.0,1.44,False,False,True,93.36754453911696
