cluster_id,event_date,week_end,symbol,asset_name,event_week_return_pct,event_week_excess_pct,forward_1w_return_pct,forward_2w_return_pct,forward_1m_return_pct,forward_2m_return_pct,forward_3m_return_pct,forward_6m_return_pct,forward_1w_excess_pct,forward_2w_excess_pct,forward_1m_excess_pct,forward_2m_excess_pct,forward_3m_excess_pct,forward_6m_excess_pct
2023-10-11-huijin-banks,2023-10-11,2023-10-13,601288,农业银行,3.333333,4.077223,-1.612903,-2.419355,-2.419355,-4.032258,-0.537634,22.043011,2.509152,0.257305,-0.251261,3.328556,9.821038,27.530163
2023-10-11-huijin-banks,2023-10-11,2023-10-13,601398,工商银行,4.487179,5.231069,-2.044990,-2.453988,-2.249489,-3.271984,-1.635992,13.496933,2.077066,0.222672,-0.081395,4.088830,8.722681,18.984085
2023-10-11-huijin-banks,2023-10-11,2023-10-13,601939,建设银行,6.666667,7.410556,-2.529762,-4.017857,-4.613095,-5.505952,-2.529762,9.375000,1.592294,-1.341198,-2.445001,1.854861,7.828910,14.862152
2023-10-11-huijin-banks,2023-10-11,2023-10-13,601988,中国银行,5.305040,6.048929,-0.755668,-2.015113,-0.503778,-0.755668,1.511335,18.891688,3.366388,0.661546,1.664316,6.605146,11.870007,24.378840
2023-10-23-huijin-etf,2023-10-23,2023-10-27,510050,上证50ETF,1.382114,-0.125424,0.761828,-0.160385,-1.082598,-7.497995,-5.773857,0.240577,0.294282,-0.682937,-0.230013,-1.172363,2.669487,1.285682
2023-10-23-huijin-etf,2023-10-23,2023-10-27,510300,沪深300ETF,1.507538,0.000000,0.467547,0.522552,-0.852585,-6.325633,-8.443344,-1.045105,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2023-10-23-huijin-etf,2023-10-23,2023-10-27,510500,中证500ETF,1.303639,-0.203898,0.178731,1.394102,1.394102,-3.306524,-8.686327,-1.179625,-0.288816,0.871550,2.246687,3.019109,-0.242983,-0.134520
2023-10-23-huijin-etf,2023-10-23,2023-10-27,512100,中证1000ETF,2.406532,0.898994,0.797314,2.769618,3.189257,-2.895510,-11.036509,-7.385648,0.329768,2.247066,4.041842,3.430123,-2.593164,-6.340544
2023-10-23-huijin-etf,2023-10-23,2023-10-27,588000,科创50ETF,0.221239,-1.286299,1.324503,2.759382,0.000000,-1.986755,-13.355408,-11.258278,0.856957,2.236830,0.852585,4.338878,-4.912064,-10.213174
2023-12-01-guoxin-etf,2023-12-01,2023-12-01,560170,央企科技ETF,-0.228311,1.352827,-3.546911,-3.546911,-3.089245,-14.988558,-10.297483,-13.157895,-1.094825,0.286235,-1.708185,-8.816067,-9.874709,-13.947072
2024-01-28-short-lending,2024-01-28,2024-02-02,510300,沪深300ETF,-4.235506,0.000000,5.457967,9.096612,10.821832,11.606023,14.742785,6.430364,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2024-02-06-stabilization,2024-02-06,2024-02-08,510050,上证50ETF,5.158730,-0.299237,3.438155,2.641509,3.186583,0.964361,7.379455,2.054507,-0.012172,-2.355516,-2.732513,-2.129036,-1.960224,0.626786
2024-02-06-stabilization,2024-02-06,2024-02-08,510300,沪深300ETF,5.457967,0.000000,3.450327,4.997026,5.919096,3.093397,9.339679,1.427722,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2024-02-06-stabilization,2024-02-06,2024-02-08,510500,中证500ETF,13.198188,7.740221,0.609640,4.153172,5.715374,2.057535,4.858068,-9.582778,-2.840687,-0.843854,-0.203721,-1.035862,-4.481611,-11.010499
2024-02-06-stabilization,2024-02-06,2024-02-08,512100,中证1000ETF,9.085992,3.628025,4.362915,7.833416,10.956867,6.296480,11.056024,-6.346059,0.912588,2.836390,5.037771,3.203083,1.716345,-7.773780
2024-02-06-stabilization,2024-02-06,2024-02-08,588000,科创50ETF,11.173975,5.716007,1.908397,8.778626,7.760814,-1.653944,0.508906,-5.852417,-1.541930,3.781600,1.841718,-4.747341,-8.830773,-7.280139
2024-07-10-short-lending,2024-07-10,2024-07-12,510300,沪深300ETF,1.764025,0.000000,2.301790,-1.278772,-3.580563,-6.166525,13.015061,8.638818,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2024-09-13-guoxin-etf,2024-09-13,2024-09-13,560170,央企科技ETF,-1.908957,0.332109,0.598802,12.574850,20.658683,43.712575,30.538922,35.329341,-0.826229,-7.282647,-2.544539,13.786924,6.003606,8.129837
2024-09-13-guoxin-etf,2024-09-13,2024-09-13,562380,央企科技引领ETF,-1.721664,0.519402,0.583942,13.284672,20.291971,43.649635,30.656934,35.766423,-0.841089,-6.572825,-2.911251,13.723984,6.121618,8.566919
2024-09-13-guoxin-etf,2024-09-13,2024-09-13,563050,央企科技引领ETF,-1.716738,0.524328,0.145560,11.935953,19.941776,42.940320,31.441048,36.535662,-1.279471,-7.921543,-3.261446,13.014670,6.905732,9.336158
2024-10-capital-tools,2024-10-17,2024-10-18,510300,沪深300ETF,0.980639,0.000000,0.597610,-0.921315,0.971116,0.099602,-2.938247,-3.560757,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2025-04-07-joint-stabilization,2025-04-07,2025-04-11,510050,上证50ETF,-1.580882,1.424927,1.606276,1.232723,2.502802,2.951065,7.246918,16.249533,0.746901,0.138973,-0.231573,-0.851019,1.022960,-6.641092
2025-04-07-joint-stabilization,2025-04-07,2025-04-11,510060,央企ETF,-1.101591,1.904218,2.103960,1.196370,2.021452,3.506601,8.168317,8.168317,1.244585,0.102620,-0.712923,-0.295483,1.944358,-14.722308
2025-04-07-joint-stabilization,2025-04-07,2025-04-11,510300,沪深300ETF,-3.005810,0.000000,0.859375,1.093750,2.734375,3.802083,6.223958,22.890625,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2025-04-07-joint-stabilization,2025-04-07,2025-04-11,510500,中证500ETF,-4.604587,-1.598778,-0.412704,0.861296,2.637718,3.804055,9.276871,34.667145,-1.272079,-0.232454,-0.096657,0.001972,3.052912,11.776520
2025-04-07-joint-stabilization,2025-04-07,2025-04-11,512100,中证1000ETF,-5.600322,-2.594513,-0.469484,1.408451,4.011950,5.548442,11.352966,30.089629,-1.328859,0.314701,1.277575,1.746359,5.129008,7.199004
2025-04-07-joint-stabilization,2025-04-07,2025-04-11,560170,央企科技ETF,-0.840336,2.165473,-1.815981,-2.300242,0.968523,1.210654,6.779661,31.234867,-2.675356,-3.393992,-1.765852,-2.591430,0.555703,8.344242
2025-04-07-joint-stabilization,2025-04-07,2025-04-11,561790,央企现代能源ETF,-3.098592,-0.092782,1.356589,1.937984,1.744186,3.197674,6.395349,17.054264,0.497214,0.844234,-0.990189,-0.604409,0.171391,-5.836361
2025-04-07-joint-stabilization,2025-04-07,2025-04-11,588000,科创50ETF,-0.655431,2.350379,-0.188501,-0.659755,-0.471254,-1.319510,-1.319510,44.015080,-1.047876,-1.753505,-3.205629,-5.121593,-7.543468,21.124455
2026-07-19-central-soe-purchases,2026-07-19,2026-07-24,510060,央企ETF,2.389346,-0.051273,1.262433,-0.497322,-0.038256,0.765111,,,2.283492,-1.560926,0.408458,3.296487,,
2026-07-19-central-soe-purchases,2026-07-19,2026-07-24,560170,央企科技ETF,1.571547,-0.869072,-4.804560,3.990228,0.895765,2.117264,,,-3.783501,2.926625,1.342479,4.648640,,
2026-07-19-central-soe-purchases,2026-07-19,2026-07-24,588000,科创50ETF,4.316547,1.875928,-8.328912,-2.387268,-7.427056,-7.480106,,,-7.307853,-3.450871,-6.980342,-4.948730,,
