cluster_id,event_date,week_end,categories,asset_scope,asset_symbols,mapping_quality,asset_count,event_week_return_pct,event_week_excess_pct,forward_1w_return_pct,forward_2w_return_pct,forward_1m_return_pct,forward_2m_return_pct,forward_3m_return_pct,forward_6m_return_pct,forward_1w_excess_pct,forward_2w_excess_pct,forward_1m_excess_pct,forward_2m_excess_pct,forward_3m_excess_pct,forward_6m_excess_pct
2023-10-11-huijin-banks,2023-10-11,2023-10-13,confirmed_purchase,银行股,601288|601398|601939|601988,exact,4,4.948055,5.691944,-1.735831,-2.726578,-2.446429,-3.391465,-0.798013,15.951658,2.386225,-0.049919,-0.278335,3.969348,9.560659,21.438810
2023-10-23-huijin-etf,2023-10-23,2023-10-27,confirmed_purchase,宽基ETF,510050|510300|510500|512100|588000,proxy,5,1.364212,-0.143325,0.705985,1.457054,0.529635,-4.402483,-9.459089,-4.125616,0.238438,0.934502,1.382220,1.923149,-1.015745,-3.080511
2023-12-01-guoxin-etf,2023-12-01,2023-12-01,confirmed_purchase,央企科技ETF,560170,exact_secondary,1,-0.228311,1.352827,-3.546911,-3.546911,-3.089245,-14.988558,-10.297483,-13.157895,-1.094825,0.286235,-1.708185,-8.816067,-9.874709,-13.947072
2024-01-28-short-lending,2024-01-28,2024-02-02,regulatory_stabilization,A股市场,510300,proxy,1,-4.235506,0.000000,5.457967,9.096612,10.821832,11.606023,14.742785,6.430364,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2024-02-06-stabilization,2024-02-06,2024-02-08,confirmed_purchase|regulatory_stabilization,A股市场|宽基ETF,510050|510300|510500|512100|588000,proxy,5,8.814971,3.357003,2.753887,5.680750,6.707747,2.151566,6.628426,-3.659805,-0.696440,0.683724,0.788651,-0.941831,-2.711252,-5.087527
2024-07-10-short-lending,2024-07-10,2024-07-12,regulatory_stabilization,A股市场,510300,proxy,1,1.764025,0.000000,2.301790,-1.278772,-3.580563,-6.166525,13.015061,8.638818,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2024-09-13-guoxin-etf,2024-09-13,2024-09-13,confirmed_purchase,央企科技ETF,560170|562380|563050,exact_family,3,-1.782453,0.458613,0.442768,12.598492,20.297476,43.434177,30.878968,35.877142,-0.982263,-7.259005,-2.905745,13.508526,6.343652,8.677638
2024-10-capital-tools,2024-10-17,2024-10-18,liquidity_facility,A股市场|股票和股票ETF,510300,proxy,1,0.980639,0.000000,0.597610,-0.921315,0.971116,0.099602,-2.938247,-3.560757,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2025-04-07-joint-stabilization,2025-04-07,2025-04-11,committed_purchase|confirmed_purchase,央企ETF和央企股票|央企股票和科技股票及ETF|宽基ETF,510050|510060|510300|510500|512100|560170|561790|588000,proxy|proxy_secondary,8,-2.560944,0.444866,0.379941,0.596322,2.018719,2.837633,6.765566,25.546182,-0.479434,-0.497428,-0.715656,-0.964450,0.541608,2.655557
2026-07-19-central-soe-purchases,2026-07-19,2026-07-24,confirmed_purchase,中央企业股票|央企和科技企业股票,510060|560170|588000,proxy,3,2.759146,0.318528,-3.957013,0.368546,-2.189849,-1.532577,,,-2.935954,-0.695057,-1.743135,0.998799,,
