week_end,id,hs300_return_pct,panic_drawdown_pct,close_rebound_pct,largecap_relative_pct,basket_turnover_bn,turnover_ratio_20w,share_flow_bn,share_flow_pct,year,week,next_week_return_pct,next_2w_return_pct,next_1m_return_pct,next_2m_return_pct,next_3m_return_pct,next_6m_return_pct,rescue_proxy,official_announcement,official_message_count,core_purchase_cluster_count,broad_rescue_cluster_count,confirmed_purchase,committed_purchase,liquidity_facility,regulatory_stabilization
2023-01-13,1,2.447466,0.173053,2.270484,2.656214,39.262783,,,,2023,2,0.892857,-0.168919,-2.775097,-4.584941,-2.750965,-6.129344,0,0,0,0,0,0,0,0,0
2023-01-20,2,0.892857,-1.472008,2.400196,-2.708667,59.762114,,16.343456,6.164674,2023,3,-1.052380,-1.865583,-2.894044,-3.707246,-3.731164,-2.702703,0,0,0,0,0,0,0,0,0
2023-02-03,3,-1.052380,-1.913418,0.877835,-3.050862,61.993429,,-2.820341,-1.004876,2023,5,-0.821852,-2.610587,-0.314237,-2.102972,-3.094029,-1.039401,0,0,0,0,0,0,0,0,0
2023-02-10,4,-0.821852,-1.909596,1.108921,-0.853235,54.107031,,-10.406892,-3.767344,2023,6,-1.803558,-1.048013,-3.460881,0.341215,-4.167681,-3.728978,0,0,0,0,0,0,0,0,0
2023-02-17,5,-1.803558,-1.901048,0.099379,0.692469,51.932739,,-9.196434,-3.530487,2023,7,0.769422,2.357906,-1.861503,1.365104,-2.109704,-4.393150,0,0,0,0,0,0,0,0,0
2023-02-24,6,0.769422,-0.024820,0.794439,-0.387709,51.616982,,-10.140777,-4.001603,2023,8,1.576355,-2.438423,-0.837438,-0.738916,-5.172413,-6.798030,0,0,0,0,0,0,0,0,0
2023-03-03,7,1.576355,-0.985222,2.587065,0.973338,42.221823,,1.700909,0.691049,2023,9,-3.952473,-4.122211,-1.794374,-2.400581,-6.328807,-6.353056,0,0,0,0,0,0,0,0,0
2023-03-10,8,-3.952473,-4.000970,0.050518,-2.546430,45.462048,,-6.695710,-2.788713,2023,10,-0.176723,1.641000,3.938399,1.211815,-2.953800,-3.837416,0,0,0,0,0,0,0,0,0
2023-03-17,9,-0.176723,-0.782631,0.610687,-0.414145,47.662823,0.920578,2.266302,0.968664,2023,11,1.820941,2.427921,3.287809,-0.556398,0.632271,-4.223572,0,0,0,0,0,0,0,0,0
2023-03-24,10,1.820941,-0.708144,2.547122,-1.399141,43.360070,0.840035,-6.123638,-2.534328,2023,12,0.596125,2.260308,0.099354,-2.036761,-3.452559,-5.191257,0,0,0,0,0,0,0,0,0
2023-03-31,11,0.596125,-1.117735,1.733233,-0.357621,46.438604,0.935510,-0.390396,-0.164445,2023,13,1.654321,0.839506,-0.617284,-4.938272,-4.148149,-7.061729,0,0,0,0,0,0,0,0,0
2023-04-07,12,1.654321,-0.123457,1.779975,-2.670011,37.972200,0.796684,-8.429059,-3.457162,2023,14,-0.801555,-2.113190,-2.623270,-6.169541,-6.048094,-9.254311,0,0,0,0,0,0,0,0,0
2023-04-14,13,-0.801555,-1.457372,0.665516,0.483686,44.365435,0.942928,-4.771783,-2.045141,2023,15,-1.322233,-1.444662,-3.721841,-5.876592,-3.232126,-12.291870,0,0,0,0,0,0,0,0,0
2023-04-21,14,-1.322233,-1.469148,0.149105,1.349588,45.939055,0.989243,-3.697217,-1.644427,2023,16,-0.124069,-0.521092,-2.133995,-1.265509,-3.473946,-9.776675,0,0,0,0,0,0,0,0,0
2023-04-28,15,-0.124069,-2.630273,2.573904,1.375004,52.316893,1.132674,12.379797,5.622100,2023,17,-0.397516,-2.310559,-4.347826,-3.428572,1.068322,-9.242236,0,0,0,0,0,0,0,0,0
2023-05-05,16,-0.397516,-0.894410,0.501379,1.846493,16.840542,0.362641,0.448316,0.194905,2023,18,-1.920678,-1.621352,-3.641806,-3.167873,2.120229,-8.830131,0,0,0,0,0,0,0,0,0
2023-05-12,17,-1.920678,-1.970566,0.050891,0.281901,48.264658,1.044942,6.082996,2.700416,2023,19,0.305188,-2.085453,-2.238047,-1.627671,0.457782,-7.578839,0,0,0,0,0,0,0,0,0
2023-05-19,18,0.305188,-0.254323,0.560938,-1.297260,39.668964,0.854224,4.453829,1.906604,2023,20,-2.383367,-2.053753,0.887424,0.202839,-2.332658,-8.595334,0,0,0,0,0,0,0,0,0
2023-05-26,19,-2.383367,-3.346856,0.996852,-1.790564,42.548785,0.921192,1.190032,0.508144,2023,21,0.337662,-0.155845,0.961038,1.038960,-1.714287,-7.844155,0,0,0,0,0,0,0,0,0
2023-06-02,20,0.337662,-1.688312,2.060766,-1.517015,45.869643,0.998489,9.957977,4.199971,2023,22,-0.491846,3.002848,0.491845,5.306755,-0.025887,-10.406419,0,0,0,0,0,0,0,0,0
2023-06-09,21,-0.491846,-2.070929,1.612477,1.664470,37.850203,0.824545,6.248536,2.554111,2023,23,3.511967,1.118626,0.624349,6.503642,-0.910510,-11.238292,0,0,0,0,0,0,0,0,0
2023-06-16,22,3.511967,-0.494277,4.026144,0.810900,39.498565,0.860454,-0.865075,-0.335869,2023,24,-2.312139,-2.437799,-0.678563,-0.728827,-4.825333,-14.400602,0,0,0,0,0,0,0,0,0
2023-06-21,23,-2.312139,-2.362403,0.051480,-0.295770,23.158840,0.507137,-1.344130,-0.537078,2023,25,-0.128634,-0.488809,0.077180,-0.900438,-1.800875,-9.981990,0,0,0,0,0,0,0,0,0
2023-06-30,24,-0.128634,-1.440700,1.331245,-0.311378,46.058054,1.025478,7.155502,2.885560,2023,26,-0.360639,1.803194,4.791344,-2.524472,-3.039670,-12.519318,0,0,0,0,0,0,0,0,0
2023-07-07,25,-0.360639,-0.592478,0.233221,0.875472,33.552183,0.747036,-2.506685,-0.989185,2023,27,2.171665,0.568769,5.842813,-0.155119,-3.412615,-13.417785,0,0,0,0,0,0,0,0,0
2023-07-14,26,2.171665,0.103413,2.066116,2.034989,33.098928,0.754602,4.368048,1.716521,2023,28,-1.568826,2.935222,-0.050607,-3.618421,-9.362348,-17.130565,0,0,0,0,0,0,0,0,0
2023-07-21,27,-1.568826,-1.948381,0.387097,1.126951,40.548734,0.943994,8.480482,3.341470,2023,29,4.575835,5.244216,-0.976864,-2.647815,-6.529562,-14.421592,0,0,0,0,0,0,0,0,0
2023-07-28,28,4.575835,-0.668380,5.279503,3.755509,50.864901,1.184160,7.538237,2.786930,2023,30,0.639135,-2.900688,-6.981317,-6.170107,-10.201572,-21.632250,0,0,0,0,0,0,0,0,0
2023-08-04,29,0.639135,-1.032448,1.689021,-0.955436,60.594896,1.410679,18.938195,6.755259,2023,31,-3.517342,-5.911089,-5.666829,-8.060576,-10.723008,-17.879822,0,0,0,0,0,0,0,0,0
2023-08-11,30,-3.517342,-3.566194,0.050659,0.338340,62.691470,1.459488,22.586476,7.820089,2023,32,-2.481013,-4.202532,-3.569621,-5.417721,-7.999998,-11.949366,0,0,0,0,0,0,0,0,0
2023-08-18,31,-2.481013,-2.506329,0.025967,0.363050,59.371545,1.366210,16.330006,5.385362,2023,33,-1.765317,0.259605,-1.687435,-7.009345,-6.412252,-8.359292,0,0,0,0,0,0,0,0,0
2023-08-25,32,-1.765317,-2.414330,0.665070,2.550481,65.491389,1.507035,9.881044,3.170355,2023,34,2.061311,0.660677,0.872094,-3.911204,-6.236784,-6.633190,0,0,0,0,0,0,0,0,0
2023-09-01,33,2.061311,0.687104,1.364829,-2.777873,98.887199,2.191768,17.318916,5.197897,2023,35,-1.372346,-1.941999,-2.537545,-5.411703,-10.383219,-7.793887,0,0,0,0,0,0,0,0,0
2023-09-08,34,-1.372346,-1.708959,0.342466,0.594246,61.104545,1.331128,-3.068536,-0.890690,2023,36,-0.577579,0.210030,-1.916512,-4.043054,-10.422682,-7.088473,0,0,0,0,0,0,0,0,0
2023-09-15,35,-0.577579,-1.050144,0.477580,0.287963,53.569916,1.165479,-6.471075,-1.907233,2023,37,0.792184,-0.607341,-5.413256,-4.040136,-10.060733,-6.891997,0,0,0,0,0,0,0,0,0
2023-09-22,36,0.792184,-1.373119,2.195448,1.320194,55.820917,1.214453,12.657189,3.785248,2023,38,-1.388525,-2.122085,-4.741943,-5.554099,-8.331149,-6.785432,0,0,0,0,0,0,0,0,0
2023-09-28,37,-1.388525,-1.598114,0.212993,-1.869843,43.167802,0.915321,4.391469,1.274629,2023,39,-0.743889,-4.835281,-2.948990,-5.738574,-9.776832,-7.917107,0,0,0,0,0,0,0,0,0
2023-10-13,38,-0.743889,-1.354942,0.619445,-0.473287,49.116430,1.068588,0.582533,0.167737,2023,41,-4.122056,-2.676660,-2.168094,-7.360813,-10.358671,-5.487150,0,1,1,1,1,1,0,0,0
2023-10-20,39,-4.122056,-4.577088,0.476858,-0.135131,56.811507,1.193839,-5.412310,-1.618110,2023,42,1.507538,1.982133,1.451704,-4.745951,-8.570630,-0.251253,0,0,0,0,0,0,0,0,0
2023-10-27,40,1.507538,-1.954216,3.530752,0.134356,72.558675,1.451444,1.734986,0.521397,2023,43,0.467547,0.522553,-0.852584,-6.325632,-8.443343,-1.045102,0,1,1,1,1,1,0,0,0
2023-11-03,41,0.467547,-0.440044,0.911602,-0.152162,48.749593,0.933589,-0.137484,-0.040805,2023,44,0.054750,-0.520120,-2.874349,-4.215712,-12.729263,0.136876,0,0,0,0,0,0,0,0,0
2023-11-10,42,0.054750,-0.273748,0.329399,-1.958921,50.158041,0.960562,-5.202244,-1.537221,2023,45,-0.574555,-1.367989,-5.307797,-7.086183,-8.016416,0.574557,0,0,0,0,0,0,0,0,0
2023-11-17,43,-0.574555,-1.176471,0.609081,-1.622722,51.406159,0.984464,-1.236633,-0.371557,2023,46,-0.798019,-2.366538,-6.108971,-7.842598,-4.292791,-0.880572,0,0,0,0,0,0,0,0,0
2023-11-24,44,-0.798019,-1.073198,0.278164,1.218370,44.972393,0.856812,0.243704,0.074459,2023,47,-1.581137,-3.994452,-5.520111,-9.153953,-2.080444,-0.638002,0,0,0,0,0,0,0,0,0
2023-12-01,45,-1.581137,-2.385576,0.824098,-2.682348,43.092331,0.820993,3.070037,0.948110,2023,48,-2.452086,-3.833146,-1.381060,-6.172492,-0.422774,0.789178,0,1,1,1,1,1,0,0,0
2023-12-08,46,-2.452086,-3.297632,0.874381,-1.600515,45.055242,0.858391,-0.696744,-0.216861,2023,49,-1.415776,-1.589136,-1.878070,-7.887893,2.889339,2.687085,0,0,0,0,0,0,0,0,0
2023-12-15,47,-1.415776,-1.618029,0.205580,-0.339100,51.364885,0.978602,4.906191,1.552047,2023,50,-0.175850,2.549824,-1.846424,-1.465416,3.722158,3.048066,0,0,0,0,0,0,0,0,0
2023-12-22,48,-0.175850,-1.758499,1.610979,2.742828,56.704187,1.080326,19.337355,6.050577,2023,51,2.730476,-0.293599,-3.846153,2.113917,3.523195,2.378157,0,0,0,0,0,0,0,0,0
2023-12-29,49,2.730476,-0.822079,3.582001,0.531812,62.567336,1.143923,14.507540,4.195947,2023,52,-2.943698,-4.286939,-4.858531,0.885967,1.686197,-1.171763,0,0,0,0,0,0,0,0,0
2024-01-05,50,-2.943698,-3.486710,0.562630,1.222885,44.936411,0.821575,-6.966350,-2.001178,2024,1,-1.383981,-3.563015,-6.124853,4.034157,2.061249,3.621908,0,0,0,0,0,0,0,0,0
2024-01-12,51,-1.383981,-1.884570,0.510204,1.085549,50.658304,0.965140,0.857867,0.256643,2024,2,-2.209615,-0.597193,0.388175,6.330248,5.434459,7.494774,0,0,0,0,0,0,0,0,0
2024-01-19,52,-2.209615,-5.464318,3.442830,2.503083,89.689248,1.745419,20.170893,6.124446,2024,3,1.648855,-2.656488,6.198473,8.061069,9.099238,6.076336,1,0,0,0,0,0,0,0,0
2024-01-26,53,1.648855,-2.717557,4.488387,3.276154,88.364529,1.719639,25.921515,7.357936,2024,4,-4.235506,0.991288,6.037849,5.917693,8.080506,3.544608,1,0,0,0,0,0,0,0,0
2024-02-02,54,-4.235506,-6.818865,2.772405,6.790207,76.625159,1.491182,20.864062,5.867898,2024,5,5.457967,9.096612,10.821831,11.606023,14.742787,6.430363,0,0,1,0,1,0,0,0,1
2024-02-08,55,5.457967,-2.415307,8.068145,-5.844370,131.770672,2.564354,60.852699,15.052849,2024,6,3.450327,4.997025,5.919096,3.093398,9.339680,1.427722,1,1,2,1,1,1,0,0,1
2024-02-23,56,3.450327,-0.208209,3.666170,1.150590,74.179557,1.443589,-4.095053,-0.856622,2024,8,1.495112,1.581369,1.753882,1.523866,3.565268,-2.443933,0,0,0,0,0,0,0,0,0
2024-03-01,57,1.495112,-1.293847,2.825517,-4.167210,81.147653,1.579193,1.408073,0.290585,2024,9,0.084986,0.878188,-0.113313,1.218132,1.473089,-3.909348,0,0,0,0,0,0,0,0,0
2024-03-08,58,0.084986,-0.736544,0.827626,1.310469,77.628641,1.436100,9.820694,2.026264,2024,10,0.792528,0.169828,0.707615,1.839798,1.217097,-6.538352,0,0,0,0,0,0,0,0,0
2024-03-15,59,0.792528,-0.311350,1.107325,-1.778397,55.659628,0.980651,0.849976,0.170218,2024,11,-0.617804,-0.982870,-2.667789,2.723955,-0.196574,-9.351306,0,0,0,0,0,0,0,0,0
2024-03-22,60,-0.617804,-1.376018,0.768793,0.199568,49.056857,0.873179,-4.063961,-0.820387,2024,12,-0.367335,0.536875,-0.226051,3.871151,-0.649901,-7.487991,0,0,0,0,0,0,0,0,0
2024-03-29,61,-0.367335,-1.638881,1.292732,2.772955,49.899553,0.932129,-1.620731,-0.333418,2024,13,0.907544,-1.701645,1.332956,2.155417,-1.106069,9.727736,0,0,0,0,0,0,0,0,0
2024-04-03,62,0.907544,0.368690,0.536875,0.031937,28.569105,0.533674,0.003321,0.000681,2024,14,-2.585722,-0.758853,1.124228,0.674537,-2.810568,18.971332,0,0,0,0,0,0,0,0,0
2024-04-12,63,-2.585722,-2.838673,0.260341,0.148950,39.189405,0.732062,-4.897173,-1.028602,2024,15,1.875361,3.087133,5.539527,3.173687,1.529140,14.743220,0,0,0,0,0,0,0,0,0
2024-04-19,64,1.875361,-0.057703,1.934180,2.697184,54.881038,1.025579,0.074688,0.015665,2024,16,1.189465,1.897480,4.106485,0.651373,1.954119,13.735485,0,0,0,0,0,0,0,0,0
2024-04-26,65,1.189465,-1.189465,2.407567,-1.138186,45.061473,0.815292,10.306112,2.127961,2024,17,0.699692,2.378953,0.811642,-1.595299,-2.770782,13.070249,0,0,0,0,0,0,0,0,0
2024-04-30,66,0.699692,-0.027988,0.727884,-1.164472,25.825560,0.467259,7.027998,1.408031,2024,18,1.667593,2.167871,-0.444692,-3.085048,-4.196777,10.589216,0,0,0,0,0,0,0,0,0
